metric,cluster_start_ms,cluster_end_ms,duration_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,peak_mean_beta_uV,n_subjects,n_permutations
G,420.0,580.0,180.0,24.062865573177497,0.042195780421957804,520.0,4.337620850677079,0.13512031055737556,29,10000
A,440.0,580.0,160.0,23.101662371051745,0.046795320467953205,580.0,-3.21029477239824,-0.16026089152564277,29,10000
A,660.0,680.0,40.0,4.449054446230811,0.6028397160283971,660.0,-2.3795815142726875,-0.12917659668724688,29,10000
G,100.0,100.0,20.0,2.776741240632816,0.6706329367063294,100.0,-2.776741240632816,-0.06187114486571246,29,10000
G,360.0,360.0,20.0,2.3804253849483925,0.7491250874912508,360.0,2.3804253849483925,0.08794834657769443,29,10000
G,220.0,220.0,20.0,2.1349835184059556,0.8568143185681432,220.0,-2.1349835184059556,-0.06831483784284186,29,10000
A,80.0,80.0,20.0,2.101397513624218,0.8740125987401259,80.0,2.101397513624218,0.07815693395093305,29,10000
