"subject","source_acquisition","crop_start_s","crop_stop_s","n_eeg_channels","global_bad_channels","global_bad_fraction","formal_trials_aligned","artifact_method","epochs_before_artifact_rejection","epochs_after_artifact_rejection","epochs_rejected","epochs_with_local_interpolation","factorial_trials_after_cleaning","factorial_cells_present","minimum_trials_per_factorial_cell","maximum_trials_per_factorial_cell","eligible_min8_all16","sampling_rate_hz","epoch_tmin_s","epoch_tmax_s","alignment.subject","alignment.acquisition","alignment.raw_pairs","alignment.expected_trials","alignment.matched_trials","alignment.matched_formal","alignment.matched_attention","alignment.unmatched_raw_pairs","alignment.unmatched_log_trials","alignment.longest_match","bad_channel_categories.bad_by_nan","bad_channel_categories.bad_by_flat","bad_channel_categories.bad_by_deviation","bad_channel_categories.bad_by_hf_noise","bad_channel_categories.bad_by_correlation","bad_channel_categories.bad_by_ransac","ica.n_components","ica.excluded_components","ica.excluded_labels","ica.excluded_probabilities","ica.all_labels","ica.all_label_probabilities","ica.ica_fit_epochs","artifact_parameters.absolute_voltage_threshold_uV"
"s29","Acquisition 01.cdt","15.738","2243.586","64","['Fp1', 'Fp2', 'Fpz', 'TP7']","0.0625","408","fixed","408","382","26","0","361","16","20","24","True","250.0","-0.2","0.996","s29","Acquisition 01.cdt","468","468","468","408","60","0","0","468","[]","[]","['Fp1', 'Fpz', 'Fp2']","['Fp1', 'Fp2', 'TP7']","[]","[]","27","[0, 2]","['eye blink', 'eye blink']","[0.9053153991699219, 0.9938370585441589]","['eye blink', 'brain', 'eye blink', 'brain', 'brain', 'brain', 'brain', 'brain', 'muscle artifact', 'brain', 'muscle artifact', 'other', 'other', 'brain', 'muscle artifact', 'muscle artifact', 'eye blink', 'other', 'brain', 'brain', 'brain', 'brain', 'other', 'muscle artifact', 'muscle artifact', 'brain', 'muscle artifact']","[0.9053153991699219, 0.9959610104560852, 0.9938370585441589, 0.9986435174942017, 0.9977551698684692, 0.9432015419006348, 0.3480442762374878, 0.8120745420455933, 0.43490806221961975, 0.9844536781311035, 0.6104829907417297, 0.342846155166626, 0.5733088254928589, 0.8557108640670776, 0.7434756755828857, 0.7436574101448059, 0.39364051818847656, 0.40991640090942383, 0.5028244853019714, 0.7312576770782471, 0.5991950035095215, 0.6702873706817627, 0.5115569829940796, 0.8227252960205078, 0.42072150111198425, 0.7463951706886292, 0.6362242698669434]","408","120.0"
"s30","Acquisition 01.cdt","4.6","3150.266","64","['Fp1', 'Fp2', 'Fpz']","0.046875","407","fixed","407","360","47","0","342","16","19","24","True","250.0","-0.2","0.996","s30","Acquisition 01.cdt","467","468","467","407","60","0","1","312","[]","[]","['Fp1', 'Fpz', 'Fp2']","[]","[]","[]","26","[1]","['eye blink']","[0.9990091919898987]","['eye blink', 'eye blink', 'brain', 'brain', 'brain', 'brain', 'brain', 'channel noise', 'brain', 'brain', 'brain', 'muscle artifact', 'brain', 'brain', 'brain', 'brain', 'brain', 'muscle artifact', 'brain', 'muscle artifact', 'brain', 'muscle artifact', 'brain', 'other', 'muscle artifact', 'other']","[0.6198044419288635, 0.9990091919898987, 0.9991563558578491, 0.9998538494110107, 0.9813487529754639, 0.9997792840003967, 0.9968498945236206, 0.29367390275001526, 0.999532163143158, 0.9956666231155396, 0.9899755716323853, 0.5481031537055969, 0.9247127175331116, 0.9038920402526855, 0.7017173767089844, 0.5160775780677795, 0.7909585237503052, 0.6937077641487122, 0.3827187418937683, 0.9705279469490051, 0.6476403474807739, 0.9351660013198853, 0.5350171327590942, 0.8213025331497192, 0.612332284450531, 0.582281231880188]","407","120.0"
