held_out_identity,subj,metric,time_ms,beta_uV
F_1,s1,G,0.0,0.04351614623133345
F_1,s1,G,20.0,0.05646837489757042
F_1,s1,G,40.0,0.07790429906817653
F_1,s1,G,60.0,0.11250085761781026
F_1,s1,G,80.0,0.09344701094068043
F_1,s1,G,100.0,0.022134215865028846
F_1,s1,G,120.0,-0.1824086422018663
F_1,s1,G,140.0,-0.18638759281599515
F_1,s1,G,160.0,-0.23030441803775176
F_1,s1,G,180.0,-0.09618743262937078
F_1,s1,G,200.0,-0.059256299676959834
F_1,s1,G,220.0,0.026923089756010057
F_1,s1,G,240.0,-0.07895593361528211
F_1,s1,G,260.0,-0.031412747563240015
F_1,s1,G,280.0,0.06852166268042832
F_1,s1,G,300.0,0.206559762735201
F_1,s1,G,320.0,-0.05905978738489018
F_1,s1,G,340.0,-0.08099542659188308
F_1,s1,G,360.0,0.07565568598608818
F_1,s1,G,380.0,0.10998697065165415
F_1,s1,G,400.0,0.3182294315906243
F_1,s1,G,420.0,0.2608133227402113
F_1,s1,G,440.0,0.07402698218305505
F_1,s1,G,460.0,0.11550683777935508
F_1,s1,G,480.0,0.3571114048801949
F_1,s1,G,500.0,0.3064154598002946
F_1,s1,G,520.0,0.2936045017504182
F_1,s1,G,540.0,0.2555801019829118
F_1,s1,G,560.0,0.4712147816129808
F_1,s1,G,580.0,0.7090942074935673
F_1,s1,G,600.0,0.4970660701586969
F_1,s1,G,620.0,0.14698200665921737
F_1,s1,G,640.0,0.3173807883148331
F_1,s1,G,660.0,0.5282714863761802
F_1,s1,G,680.0,0.502701269657436
F_1,s1,G,700.0,0.2549654180568934
F_1,s1,G,720.0,0.1510150291178184
F_1,s1,G,740.0,0.2087629985249788
F_1,s1,G,760.0,0.2878762702248234
F_1,s1,G,780.0,0.24421825205519587
F_1,s1,G,800.0,0.37556873492506265
F_1,s1,G,820.0,0.4818611732867399
F_1,s1,G,840.0,0.6096125313144354
F_1,s1,G,860.0,0.5331033340363195
F_1,s1,G,880.0,0.381367872342925
F_1,s1,G,900.0,0.47222993661003365
F_1,s1,G,920.0,0.494845611995615
F_1,s1,G,940.0,0.4842863525761874
F_1,s1,G,960.0,0.3916110476175001
F_1,s1,G,980.0,0.3747742346303651
F_1,s1,A,0.0,0.04315784133862653
F_1,s1,A,20.0,-0.06507211606329154
F_1,s1,A,40.0,0.017642145722349567
F_1,s1,A,60.0,0.2664295802523984
F_1,s1,A,80.0,0.22206305896691242
F_1,s1,A,100.0,0.1328357183075233
F_1,s1,A,120.0,0.15515805114004697
F_1,s1,A,140.0,0.33224941047477174
F_1,s1,A,160.0,0.4610664568925652
F_1,s1,A,180.0,0.4680290752524976
F_1,s1,A,200.0,0.09530447053011094
F_1,s1,A,220.0,0.004790460960581192
F_1,s1,A,240.0,0.08850551527755754
F_1,s1,A,260.0,0.17006648579548517
F_1,s1,A,280.0,0.25574625553606545
F_1,s1,A,300.0,0.1809595101989157
F_1,s1,A,320.0,0.0433719287977246
F_1,s1,A,340.0,0.14015285110582354
F_1,s1,A,360.0,0.412862100207478
F_1,s1,A,380.0,0.3118705501227929
F_1,s1,A,400.0,-0.0754232264683729
F_1,s1,A,420.0,-0.11882730537843712
F_1,s1,A,440.0,0.16508423090485091
F_1,s1,A,460.0,0.18338647707977607
F_1,s1,A,480.0,0.0841084700719468
F_1,s1,A,500.0,-0.06275119412114272
F_1,s1,A,520.0,-0.025452250373875447
F_1,s1,A,540.0,0.05327727789786024
F_1,s1,A,560.0,-0.008434309647623019
F_1,s1,A,580.0,-0.16915872102180776
F_1,s1,A,600.0,0.07547424901575275
F_1,s1,A,620.0,0.09751900789512818
F_1,s1,A,640.0,-0.2153758166891362
F_1,s1,A,660.0,-0.14131128724744377
F_1,s1,A,680.0,-0.013758395564270526
F_1,s1,A,700.0,-0.04881718498893464
F_1,s1,A,720.0,0.06790829838277687
F_1,s1,A,740.0,0.12706431755762487
F_1,s1,A,760.0,0.1788254610802012
F_1,s1,A,780.0,0.15730203040627957
F_1,s1,A,800.0,-0.24037004207894794
F_1,s1,A,820.0,-0.4380147510237612
F_1,s1,A,840.0,-0.35218585339433395
F_1,s1,A,860.0,-0.04964415793513705
F_1,s1,A,880.0,0.018138766502378806
F_1,s1,A,900.0,0.014304955339677398
F_1,s1,A,920.0,-0.15567892488976545
F_1,s1,A,940.0,-0.05856721971445856
F_1,s1,A,960.0,0.05381860411434673
F_1,s1,A,980.0,0.2039713061285916
F_1,s1,I,0.0,-0.3050951761124807
F_1,s1,I,20.0,-0.06497841958372734
F_1,s1,I,40.0,-0.016571561580662274
F_1,s1,I,60.0,-0.3041143152705682
F_1,s1,I,80.0,-0.2181515609339782
F_1,s1,I,100.0,-0.06958217321570534
F_1,s1,I,120.0,-0.2621000482245995
F_1,s1,I,140.0,-0.5589030360294596
F_1,s1,I,160.0,-0.5652388445268659
F_1,s1,I,180.0,-0.5839376976651354
F_1,s1,I,200.0,-0.22809020277514308
F_1,s1,I,220.0,-0.09238258323262978
F_1,s1,I,240.0,-0.030313281362862682
F_1,s1,I,260.0,-0.16834124038074497
F_1,s1,I,280.0,-0.16926371690974915
F_1,s1,I,300.0,-0.11721589579065353
F_1,s1,I,320.0,-0.24265658625689945
F_1,s1,I,340.0,-0.6124572132044646
F_1,s1,I,360.0,-0.6512604888249502
F_1,s1,I,380.0,-0.158319137237936
F_1,s1,I,400.0,0.02581024095318446
F_1,s1,I,420.0,-0.31768167933059405
F_1,s1,I,440.0,-0.604153869203745
F_1,s1,I,460.0,-0.5492409992313152
F_1,s1,I,480.0,-0.5991244173889182
F_1,s1,I,500.0,-0.2783645215900907
F_1,s1,I,520.0,-0.6195360887049879
F_1,s1,I,540.0,-0.6482244780803694
F_1,s1,I,560.0,-0.21902170120570094
F_1,s1,I,580.0,-0.11654679263871714
F_1,s1,I,600.0,-0.6280407303113218
F_1,s1,I,620.0,-0.5785349685380683
F_1,s1,I,640.0,-0.1942021814398784
F_1,s1,I,660.0,-0.4333368601850158
F_1,s1,I,680.0,-0.5151614247223114
F_1,s1,I,700.0,-0.5103440393254411
F_1,s1,I,720.0,-0.4908810574204114
F_1,s1,I,740.0,-0.440988269502389
F_1,s1,I,760.0,-0.6585234331933438
F_1,s1,I,780.0,-0.8305856802360703
F_1,s1,I,800.0,-0.5136876914111574
F_1,s1,I,820.0,-0.1813151482499834
F_1,s1,I,840.0,-0.5779364282929352
F_1,s1,I,860.0,-0.8467875331023316
F_1,s1,I,880.0,-0.6661806718812229
F_1,s1,I,900.0,-0.6506277605834807
F_1,s1,I,920.0,-0.5266452445926602
F_1,s1,I,940.0,-0.3276039750286682
F_1,s1,I,960.0,-0.6675597408436243
F_1,s1,I,980.0,-0.9141526708835033
F_2,s1,G,0.0,0.123160533746533
F_2,s1,G,20.0,0.08438730883448348
F_2,s1,G,40.0,0.030702104556883242
F_2,s1,G,60.0,0.08909863699723958
F_2,s1,G,80.0,0.12892099219426625
F_2,s1,G,100.0,0.00990293009516665
F_2,s1,G,120.0,-0.07516426313921318
F_2,s1,G,140.0,-0.03953187228196543
F_2,s1,G,160.0,-0.12353095438296098
F_2,s1,G,180.0,-0.054165314861669284
F_2,s1,G,200.0,0.005537092302460633
F_2,s1,G,220.0,0.17256892368061047
F_2,s1,G,240.0,-0.008064710202427276
F_2,s1,G,260.0,-0.0246957514869192
F_2,s1,G,280.0,0.09563052017518232
F_2,s1,G,300.0,0.20096375253336196
F_2,s1,G,320.0,0.15932397011882954
F_2,s1,G,340.0,0.1704753229950421
F_2,s1,G,360.0,0.11221607534715788
F_2,s1,G,380.0,0.2581355118547454
F_2,s1,G,400.0,0.5720019026253057
F_2,s1,G,420.0,0.46494110360160495
F_2,s1,G,440.0,0.3023371074596051
F_2,s1,G,460.0,0.33809409012672487
F_2,s1,G,480.0,0.4930598788679219
F_2,s1,G,500.0,0.4392612037734837
F_2,s1,G,520.0,0.3404005632200654
F_2,s1,G,540.0,0.29536453783508776
F_2,s1,G,560.0,0.4526619318886347
F_2,s1,G,580.0,0.6047883259110061
F_2,s1,G,600.0,0.46153339293564516
F_2,s1,G,620.0,0.22839808495356345
