held_out_identity,metric,cluster_start_ms,cluster_end_ms,duration_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,peak_mean_beta_uV,n_subjects,n_permutations
F_1,G,860.0,980.0,140.0,18.935368717556088,0.06796601699150424,980.0,3.1293463540091486,0.1431870661513914,29,2000
F_1,G,640.0,740.0,120.0,16.613684890398016,0.08945527236381809,700.0,3.479784919191414,0.11779388126907656,29,2000
F_1,A,540.0,580.0,60.0,6.815939997220143,0.3663168415792104,580.0,-2.4291844552047945,-0.16274290071390818,29,2000
F_1,G,200.0,220.0,40.0,5.005346434747487,0.46926536731634183,220.0,-2.776787082254602,-0.09854282736580314,29,2000
F_1,G,520.0,520.0,20.0,2.5180409536392614,0.7041479260369815,520.0,2.5180409536392614,0.08099531577497772,29,2000
F_1,I,840.0,840.0,20.0,2.1085591580820955,0.8605697151424287,840.0,-2.1085591580820955,-0.21248128753083376,29,2000
F_1,G,580.0,580.0,20.0,2.079910067722793,0.879560219890055,580.0,2.079910067722793,0.11462778785323813,29,2000
F_2,G,440.0,580.0,160.0,20.64041984475074,0.07496251874062969,520.0,3.167294222718313,0.14147412620533367,29,2000
F_2,A,520.0,580.0,80.0,10.857381048758553,0.20439780109945027,560.0,-2.924661431169214,-0.2066210263695052,29,2000
F_2,A,440.0,480.0,60.0,8.271151537791425,0.28285857071464265,460.0,-2.8586122572059716,-0.20578285827150566,29,2000
F_2,G,360.0,380.0,40.0,4.492935308433124,0.5967016491754122,380.0,2.258233208198204,0.11816773354380243,29,2000
F_2,G,100.0,100.0,20.0,2.364958132917833,0.7536231884057971,100.0,-2.364958132917833,-0.07096213558323165,29,2000
F_2,A,80.0,80.0,20.0,2.3207430378197906,0.7756121939030485,80.0,2.3207430378197906,0.09724452125299764,29,2000
F_2,G,220.0,220.0,20.0,2.1574531602910043,0.8460769615192404,220.0,-2.1574531602910043,-0.07891605848807204,29,2000
M_1,A,400.0,580.0,200.0,32.5875839096309,0.01899050474762619,480.0,-3.7653596338323885,-0.22052358874756822,29,2000
M_1,G,480.0,580.0,120.0,17.292316572215483,0.09695152423788106,520.0,4.314222327338246,0.16654964229181698,29,2000
M_1,A,660.0,680.0,40.0,5.610461153822443,0.4237881059470265,660.0,-3.1977177172766753,-0.17194522444424096,29,2000
M_1,G,420.0,440.0,40.0,5.610410665319333,0.4237881059470265,420.0,3.346431965522609,0.18887314106243558,29,2000
M_1,A,760.0,780.0,40.0,4.460669619441271,0.6086956521739131,760.0,-2.2738511498747864,-0.09438084742799645,29,2000
M_1,G,360.0,360.0,20.0,2.339255650071497,0.7656171914042978,360.0,2.339255650071497,0.11312871099089024,29,2000
M_1,A,200.0,200.0,20.0,2.237525563164295,0.8085957021489255,200.0,-2.237525563164295,-0.16081706200591486,29,2000
M_1,A,320.0,320.0,20.0,2.1817434274185517,0.8345827086456772,320.0,-2.1817434274185517,-0.12891103589173136,29,2000
M_2,G,740.0,840.0,120.0,14.791877060685271,0.1024487756121939,820.0,-2.874629669870446,-0.20830913475604176,29,2000
M_2,G,40.0,140.0,120.0,14.31521303245532,0.11044477761119441,100.0,-2.912877010004584,-0.11241223843596704,29,2000
M_2,I,880.0,960.0,100.0,13.193539956124472,0.12243878060969515,900.0,3.4032856565225367,0.24755796894095686,29,2000
M_2,G,500.0,540.0,60.0,7.894955836763538,0.27936031984008,520.0,3.165730249662203,0.16881449202945054,29,2000
M_2,A,540.0,580.0,60.0,7.137543552435107,0.3378310844577711,560.0,-2.4235143348567973,-0.13758417943316997,29,2000
M_2,I,820.0,840.0,40.0,5.571975602451619,0.42778610694652675,820.0,2.9840265408762634,0.26387340583786356,29,2000
M_2,G,460.0,460.0,20.0,2.3867384667406544,0.7886056971514243,460.0,2.3867384667406544,0.12918150840908818,29,2000
M_2,A,480.0,480.0,20.0,2.318382886820871,0.8115942028985508,480.0,-2.318382886820871,-0.15275579994562252,29,2000
M_2,A,80.0,80.0,20.0,2.2204835028784453,0.848575712143928,80.0,2.2204835028784453,0.10690756328732678,29,2000
