model,rmse,mae,r2
A2_only,1.2797281175460464,0.9912139700595644,0.09847518030247666
factor,1.246507006030424,0.9691515557559798,0.14459940048492978
factor_plus_A2,1.2310308048225829,0.9564187347718665,0.16568003437511303
