analysis,n_participants,participants,metric,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations,seed
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,10.731726143288952,0.19788021197880212,60.0,2.897361511666868,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.2576147320853885,0.784021597840216,540.0,-2.2576147320853885,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5238550332776852,0.6999300069993001,580.0,-2.5238550332776852,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.922176975199605,0.134986501349865,940.0,-3.3633805336212785,10000,20260919
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.391662425690632,0.3204679532046795,360.0,2.862459483338823,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,25.614052019708225,0.0380961903809619,540.0,3.3189621927935655,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.091606691576983,0.3457654234576542,80.0,2.5150868625996026,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5547436982763276,0.6826317368263174,580.0,-2.5547436982763276,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.391166172351031,0.1481851814818518,940.0,-3.130544806696407,10000,20260920
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.9002387109712515,0.3628637136286371,360.0,2.5921612353500882,10000,20260921
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,580.0,21.07209651770001,0.06679332066793321,460.0,3.1447721171085683,10000,20260921
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,9.856175930732707,0.21637836216378362,80.0,2.7632977628635773,10000,20260921
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.545171883602755,0.6872312768723128,580.0,-2.545171883602755,10000,20260921
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,12.668747516987988,0.15698430156984303,940.0,-3.0001141422111117,10000,20260921
LOPO_s6,28,s1;s2;s3;s4;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,360.0,4.674302634471049,0.5383461653834617,360.0,2.468957864241794,10000,20260922
LOPO_s6,28,s1;s2;s3;s4;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,580.0,20.79346905772893,0.06469353064693531,460.0,3.061549201440972,10000,20260922
LOPO_s6,28,s1;s2;s3;s4;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.4483634444236815,0.3193680631936806,80.0,2.60201940268919,10000,20260922
LOPO_s6,28,s1;s2;s3;s4;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.583120238755375,0.6702329767023297,580.0,-2.583120238755375,10000,20260922
LOPO_s6,28,s1;s2;s3;s4;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,880.0,980.0,19.37525417668141,0.0776922307769223,940.0,-3.8749426619825,10000,20260922
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,320.0,380.0,10.395110675952385,0.2101789821017898,360.0,2.910379605710641,10000,20260923
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,25.382896469698718,0.04279572042795721,460.0,3.683819788080612,10000,20260923
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,9.651414818795725,0.23567643235676433,80.0,2.8043721961593957,10000,20260923
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.328625025276386,0.7755224477552245,580.0,-2.328625025276386,10000,20260923
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,940.0,980.0,8.049555069541608,0.29247075292470753,940.0,-2.9053607911969026,10000,20260923
LOPO_s7,28,s1;s2;s3;s4;s6;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,I,340.0,340.0,2.4713032708719966,0.7284271572842715,340.0,-2.4713032708719966,10000,20260923
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.1612701456251555,0.3408659134086591,360.0,2.6764339268242945,10000,20260924
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,580.0,23.06335612051434,0.0524947505249475,460.0,3.426265288257604,10000,20260924
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,9.661818963915982,0.22817718228177183,80.0,2.6769419655756805,10000,20260924
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.059642820243362,0.8733126687331267,540.0,-2.059642820243362,10000,20260924
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.6724648984461403,0.674032596740326,580.0,-2.6724648984461403,10000,20260924
LOPO_s8,28,s1;s2;s3;s4;s6;s7;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.367017325604937,0.1478852114788521,940.0,-3.1315693222873815,10000,20260924
LOPO_s9,28,s1;s2;s3;s4;s6;s7;s8;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.7424267224538585,0.37436256374362564,360.0,2.4875707412268446,10000,20260925
LOPO_s9,28,s1;s2;s3;s4;s6;s7;s8;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,580.0,21.78839529239108,0.057194280571942806,460.0,3.163486786447082,10000,20260925
LOPO_s9,28,s1;s2;s3;s4;s6;s7;s8;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,6.955832952545476,0.3581641835816418,80.0,2.573521836962588,10000,20260925
LOPO_s9,28,s1;s2;s3;s4;s6;s7;s8;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.411897507943922,0.7256274372562743,580.0,-2.411897507943922,10000,20260925
LOPO_s9,28,s1;s2;s3;s4;s6;s7;s8;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,12.391163851495918,0.1601839816018398,940.0,-2.9503191647302462,10000,20260925
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.0950349531897325,0.36136386361363865,360.0,2.5566178254422254,10000,20260926
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,25.435310396664345,0.039196080391960805,460.0,3.1374832121911003,10000,20260926
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,20.0,80.0,10.511607690808582,0.20777922207779223,80.0,2.7869671164956067,10000,20260926
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.2405115039296315,0.7886211378862114,580.0,-2.2405115039296315,10000,20260926
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,940.0,980.0,8.341407951146731,0.2770722927707229,940.0,-2.9657393076366487,10000,20260926
LOPO_s10,28,s1;s2;s3;s4;s6;s7;s8;s9;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,I,420.0,420.0,2.506236907860615,0.7001299870012999,420.0,-2.506236907860615,10000,20260926
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.775806590093987,0.2963703629637036,360.0,2.6960552873617316,10000,20260927
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,560.0,22.52402145192685,0.056894310568943104,460.0,3.6010003592037836,10000,20260927
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.199424341277542,0.33796620337966204,80.0,2.611147628405908,10000,20260927
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.0803068380182426,0.8700129987001299,540.0,-2.0803068380182426,10000,20260927
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.364437829628943,0.7373262673732627,580.0,-2.364437829628943,10000,20260927
LOPO_s11,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,12.964674251480421,0.15458454154584542,940.0,-3.1058480604499477,10000,20260927
LOPO_s12,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,360.0,380.0,4.750445993197333,0.5286471352864713,360.0,2.5352026582893123,10000,20260928
LOPO_s12,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,23.806887399727827,0.05269473052694731,440.0,3.0607336026145027,10000,20260928
LOPO_s12,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,9.552759053438175,0.24577542245775422,80.0,2.7500840524848313,10000,20260928
LOPO_s12,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.2688471160354746,0.7642235776422358,580.0,-2.2688471160354746,10000,20260928
LOPO_s12,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.548305536133283,0.15478452154784522,940.0,-3.2009026369287907,10000,20260928
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.9564399633413,0.35136486351364865,360.0,2.738478321335801,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,24.539846528810852,0.04079592040795921,560.0,3.1508571395799656,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.028077785357878,0.34506549345065496,80.0,2.5303462253718276,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,480.0,480.0,2.3014659285527177,0.7495250474952505,480.0,-2.3014659285527177,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.2859360851578883,0.756024397560244,540.0,-2.2859360851578883,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.7731608376391055,0.6539346065393461,580.0,-2.7731608376391055,10000,20260929
LOPO_s13,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.448274375628767,0.1374862513748625,940.0,-3.111125171415384,10000,20260929
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.402063963405896,0.3237676232376762,360.0,2.744629076156277,10000,20260930
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,560.0,21.218822737633097,0.0670932906709329,460.0,3.3496350499577816,10000,20260930
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,6.9452390163526845,0.36136386361363865,80.0,2.4665255127196977,10000,20260930
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.1942843270902648,0.8006199380061993,540.0,-2.1942843270902648,10000,20260930
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.3859503542715768,0.724027597240276,580.0,-2.3859503542715768,10000,20260930
LOPO_s14,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.160390000862261,0.1561843815618438,960.0,-3.061655295988375,10000,20260930
LOPO_s15,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,360.0,380.0,4.91171933089282,0.5077492250774922,360.0,2.6547611215157785,10000,20260931
