contrast,best_corrected_onset_ms_p_lt_0.10,best_corrected_offset_ms_p_lt_0.10,corrected_duration_ms_p_lt_0.10,longest_corrected_cluster_ms_p_lt_0.10,uncorrected_cumulative_duration_ms,persistence_index_abs_t,late_450_800_abs_effect_auc,peak_abs_t_time_ms,peak_abs_t
Surface_minus_Structural,420.0,580.0,180.0,180.0,240.0,1472.123015273587,46.654668044449686,520.0,3.5210544855917627
Surface,420.0,580.0,180.0,180.0,240.0,1376.7692873409246,33.26838671602546,560.0,3.255021401841763
Skin,440.0,580.0,160.0,160.0,180.0,1301.6549317000492,47.369987352156116,580.0,3.3707118243483385
Eye,,,0.0,0.0,180.0,1199.1101041506347,37.890587966617645,700.0,2.660673459010241
Mouth,300.0,380.0,100.0,100.0,140.0,1160.6379382075168,28.353585007710432,340.0,3.1398866697837002
Structural,920.0,980.0,80.0,80.0,120.0,996.4912407510722,15.40390044789261,980.0,3.2725247914159215
FSlim,,,0.0,0.0,20.0,877.4235039097779,23.70348386664388,780.0,2.1354905193317517
