stage,contrast,channel,mean_beta_uV,t,p_uncorrected,n_subjects,p_fdr
EditIntegration,Eye,AF3,0.19814866995835115,1.7678775221491194,0.08838193859405102,28,0.6406654485145707
EditIntegration,Eye,AF4,0.3484193601936238,2.4627741576187754,0.020453255144313637,28,0.4363361097453576
EditIntegration,Eye,C1,0.07248802281755949,0.987607048669926,0.33211348998599033,28,0.7545736438101437
EditIntegration,Eye,C2,0.08637914438529871,1.245839695520108,0.22352593797016568,28,0.6812219061947906
EditIntegration,Eye,C3,0.045359479744433294,0.5276236768485593,0.6020699731298028,28,0.852380055773953
EditIntegration,Eye,C4,0.02907410003868702,0.3941273564121594,0.6965827278319165,28,0.852380055773953
EditIntegration,Eye,C5,-0.04433333951449742,-0.4953491349550248,0.6243612971273302,28,0.852380055773953
EditIntegration,Eye,C6,-0.09849946014478682,-1.1159633379011649,0.2742716674602483,28,0.7277407095097052
EditIntegration,Eye,CB1,-0.2594361167704516,-1.698916909729093,0.10083084778699537,28,0.6453174258367704
EditIntegration,Eye,CB2,-0.05589426097862116,-0.5013756742214464,0.620170335940898,28,0.852380055773953
EditIntegration,Eye,CP1,-0.037948615106143495,-0.5018141776969787,0.6198658985760942,28,0.852380055773953
EditIntegration,Eye,CP2,0.0014283550623554186,0.01985805575789274,0.9843026312594629,28,0.9843026312594629
EditIntegration,Eye,CP3,-0.14248970147316764,-1.7579255932720088,0.09009357869736151,28,0.6406654485145707
EditIntegration,Eye,CP4,0.04830108328346692,0.5221353933501665,0.6058338102357558,28,0.852380055773953
EditIntegration,Eye,CP5,-0.02880396487839043,-0.34329810272577166,0.7340329983108467,28,0.852380055773953
EditIntegration,Eye,CP6,-0.10958664113492105,-1.6158482783616976,0.11819824070216256,27,0.6688958704865131
EditIntegration,Eye,CPZ,0.027232972416963958,0.3368768350717453,0.7388143438718681,28,0.852380055773953
EditIntegration,Eye,CZ,0.08061851139507839,0.8657712802731926,0.39453457292291927,27,0.834225226368723
EditIntegration,Eye,F1,0.11562879381293698,0.9674288016385416,0.34191618235147136,28,0.7545736438101437
EditIntegration,Eye,F2,0.1411274807120248,1.0924820177362526,0.28427371465222856,28,0.7277407095097052
EditIntegration,Eye,F3,0.008784644559921522,0.07736629294444582,0.9389026402087035,28,0.9538058567199528
EditIntegration,Eye,F4,0.1395838467017709,1.1837710412766291,0.2468213248944852,28,0.7180256724203206
EditIntegration,Eye,F5,-0.09004558312700958,-0.7053931140809644,0.48660727119855773,28,0.852380055773953
EditIntegration,Eye,F6,0.03294902344645509,0.3098419192969105,0.7591509871736769,27,0.852380055773953
EditIntegration,Eye,F7,-0.21926364400312406,-1.5198983664007144,0.14016152956108943,28,0.6812219061947906
EditIntegration,Eye,F8,0.18277377803021796,1.3323621752274928,0.19387798624933603,28,0.6812219061947906
EditIntegration,Eye,FC1,0.10791980130890909,0.9963135179334968,0.32794363738223864,28,0.7545736438101437
EditIntegration,Eye,FC2,0.0629961383688995,0.5940699676015553,0.5575994463454054,27,0.852380055773953
EditIntegration,Eye,FC3,-0.04826678775211673,-0.4893115687426493,0.6285728391888109,28,0.852380055773953
EditIntegration,Eye,FC4,0.029597324047215507,0.3256598880153718,0.7471921515752291,28,0.852380055773953
EditIntegration,Eye,FC5,-0.061431585312785045,-0.8143596987567796,0.42256370852034625,28,0.834225226368723
EditIntegration,Eye,FC6,0.1230639655088945,1.2924946360825846,0.20713817285457295,28,0.6812219061947906
EditIntegration,Eye,FCZ,0.14113511057360434,1.5814599738050652,0.1254179757162212,28,0.6688958704865131
EditIntegration,Eye,FP1,0.20477195794470773,1.3553570068941747,0.18846565054207487,24,0.6812219061947906
EditIntegration,Eye,FP2,0.43451266394771537,2.8776579742262354,0.008085151759029765,26,0.4363361097453576
EditIntegration,Eye,FPZ,0.4815340146232876,2.632585990991078,0.014881116025564557,24,0.4363361097453576
EditIntegration,Eye,FT7,-0.05922970882930915,-0.4634057606393046,0.646787518831226,28,0.852380055773953
EditIntegration,Eye,FT8,-0.08257948960299832,-0.8009595718620717,0.4301473823463728,28,0.834225226368723
EditIntegration,Eye,FZ,0.15894787231722446,1.3711129646871387,0.18162946978830444,28,0.6812219061947906
EditIntegration,Eye,M1,-0.044532685062782885,-0.3315128183805848,0.7428166534393664,28,0.852380055773953
EditIntegration,Eye,M2,0.029209318023964807,0.09451999534161269,0.9254207832093309,27,0.9538058567199528
EditIntegration,Eye,O1,-0.12954590655732692,-1.2659095263031095,0.21635987021569103,28,0.6812219061947906
EditIntegration,Eye,O2,-0.04068277946872751,-0.3942925368920751,0.6964622286876364,28,0.852380055773953
EditIntegration,Eye,OZ,-0.035167652267088574,-0.3316095078885578,0.7427444440609502,28,0.852380055773953
EditIntegration,Eye,P1,-0.06272635470182387,-0.6908773349179672,0.4955399411497765,28,0.852380055773953
EditIntegration,Eye,P2,-0.02548090451389372,-0.27733973651540217,0.7836316931541405,28,0.8582507941258647
EditIntegration,Eye,P3,-0.16573374989376505,-1.987731404509595,0.057070040225709905,28,0.5217832249207762
EditIntegration,Eye,P4,-0.05183936727134973,-0.5213857703675214,0.6063487605067834,28,0.852380055773953
EditIntegration,Eye,P5,-0.17573356702355594,-2.100230567671434,0.04518681228063443,28,0.5217832249207762
EditIntegration,Eye,P6,-0.04515124508399344,-0.4487764714708829,0.6571741725019818,28,0.852380055773953
EditIntegration,Eye,P7,-0.15850385089955618,-1.4006015363569786,0.1727214938459698,28,0.6812219061947906
EditIntegration,Eye,P8,-0.06609163560803043,-0.8443845105237345,0.40587443321363875,28,0.834225226368723
EditIntegration,Eye,PO3,-0.15207708784413423,-1.3198682826750185,0.19796087944978435,28,0.6812219061947906
EditIntegration,Eye,PO4,-0.026276502589532107,-0.23691472084137793,0.8145112809144212,28,0.8582507941258647
EditIntegration,Eye,PO5,-0.213760503803833,-1.9892750135363109,0.056889951521630656,28,0.5217832249207762
EditIntegration,Eye,PO6,-0.05418852511857107,-0.533593540872854,0.5979885573143852,28,0.852380055773953
EditIntegration,Eye,PO7,-0.212489795258894,-2.000833125227063,0.05555729410633704,28,0.5217832249207762
EditIntegration,Eye,PO8,-0.08595511034791678,-1.026932491364977,0.31356501708160445,28,0.7545736438101437
EditIntegration,Eye,POZ,0.03884616883960538,0.3300856636676679,0.7438827547201871,28,0.852380055773953
EditIntegration,Eye,PZ,0.043793726099114985,0.4005846898748451,0.6918781544128332,28,0.852380055773953
EditIntegration,Eye,T7,-0.12637760318759944,-1.1081818538475694,0.2775577530733637,28,0.7277407095097052
EditIntegration,Eye,T8,-0.03814489044040224,-0.43945577096889477,0.6638286236686025,28,0.852380055773953
EditIntegration,Eye,TP7,-0.016537252143783245,-0.23911629443072516,0.8128211944979198,28,0.8582507941258647
EditIntegration,Eye,TP8,-0.017945646691144852,-0.2324347509589877,0.8180202881512147,27,0.8582507941258647
EditIntegration,FSlim,AF3,-0.16094371890448786,-1.4044934314466706,0.17157203006283178,28,0.9479294682445538
EditIntegration,FSlim,AF4,-0.06599834047418969,-0.6726881357296225,0.5068625551882833,28,0.9479294682445538
EditIntegration,FSlim,C1,-0.08744377613793712,-1.2191103004259298,0.23334636093932964,28,0.9479294682445538
EditIntegration,FSlim,C2,-0.04507059803089818,-0.5055674290735876,0.6172629696219002,28,0.9479294682445538
EditIntegration,FSlim,C3,-0.0470336210938489,-0.8003994382487543,0.4304661925906056,28,0.9479294682445538
EditIntegration,FSlim,C4,-0.019449493821967312,-0.2181765691584654,0.8289321620641419,28,0.9479294682445538
EditIntegration,FSlim,C5,-0.01869965740016514,-0.22269887246148848,0.825446010247344,28,0.9479294682445538
EditIntegration,FSlim,C6,0.1509112685257863,2.2703453732398007,0.03138042521402134,28,0.9479294682445538
EditIntegration,FSlim,CB1,-0.07393693763798397,-0.41809645222216857,0.6791832684428653,28,0.9479294682445538
EditIntegration,FSlim,CB2,0.01014320968296604,0.0664841591342182,0.9474822342391834,28,0.9498932712730621
EditIntegration,FSlim,CP1,0.016200717062639442,0.20820586145639983,0.836630865150731,28,0.9479294682445538
EditIntegration,FSlim,CP2,0.005033592506217268,0.06342758887789002,0.9498932712730621,28,0.9498932712730621
EditIntegration,FSlim,CP3,-0.07157784756218474,-0.7312352170172035,0.47093448658591275,28,0.9479294682445538
EditIntegration,FSlim,CP4,-0.06841789030774215,-0.9587057696919619,0.3462138353726323,28,0.9479294682445538
EditIntegration,FSlim,CP5,-0.03561325374152961,-0.4663135244439245,0.6447315800333271,28,0.9479294682445538
EditIntegration,FSlim,CP6,0.01238638288289374,0.18914878764353768,0.8514450077510501,27,0.9479294682445538
EditIntegration,FSlim,CPZ,-0.09969903445684555,-0.9814389016929078,0.3350894559970063,28,0.9479294682445538
EditIntegration,FSlim,CZ,-0.11048489950844284,-1.1489488658858986,0.2610375075235669,27,0.9479294682445538
EditIntegration,FSlim,F1,-0.06987570959485372,-0.640030107985072,0.527547373886814,28,0.9479294682445538
EditIntegration,FSlim,F2,-0.016746775560963295,-0.1460898573211507,0.8849357208396328,28,0.9479294682445538
EditIntegration,FSlim,F3,-0.09320156397375166,-0.7775056741573807,0.4436201558876636,28,0.9479294682445538
EditIntegration,FSlim,F4,-0.0696577888049797,-0.7213536879754882,0.4768924827488159,28,0.9479294682445538
EditIntegration,FSlim,F5,-0.15418033135854872,-1.3413264145363037,0.1909890022287107,28,0.9479294682445538
EditIntegration,FSlim,F6,0.20193199701726172,1.484999439199316,0.14956849579593817,27,0.9479294682445538
EditIntegration,FSlim,F7,-0.162415100637161,-1.4066850355655611,0.17092741049584842,28,0.9479294682445538
EditIntegration,FSlim,F8,0.30117501183695505,1.9893445676840131,0.0568818485949785,28,0.9479294682445538
EditIntegration,FSlim,FC1,-0.06727752986399553,-0.6847869508780609,0.4993151984271783,28,0.9479294682445538
EditIntegration,FSlim,FC2,-0.018510094950623862,-0.1808166243677479,0.8579136109333423,27,0.9479294682445538
EditIntegration,FSlim,FC3,-0.06185406867152338,-0.7814070561431549,0.4413615514440014,28,0.9479294682445538
EditIntegration,FSlim,FC4,0.057096846879126514,0.6104192796562872,0.5466883537746648,28,0.9479294682445538
EditIntegration,FSlim,FC5,-0.02220599543454704,-0.22481205264088344,0.8238182435433862,28,0.9479294682445538
EditIntegration,FSlim,FC6,0.2316245359428602,1.6114322515190138,0.11871555573928642,28,0.9479294682445538
EditIntegration,FSlim,FCZ,-0.013806256724590805,-0.1346770460064491,0.8938661775887257,28,0.9479294682445538
EditIntegration,FSlim,FP1,-0.2564880222093436,-1.4390682877004477,0.16360237994537344,24,0.9479294682445538
EditIntegration,FSlim,FP2,-0.2214297839121657,-1.16603966971854,0.25460244195531084,26,0.9479294682445538
EditIntegration,FSlim,FPZ,0.023753942111361632,0.10820647644573642,0.9147703479124709,24,0.9479294682445538
EditIntegration,FSlim,FT7,-0.026066189247715994,-0.19382952659343716,0.8477602593517202,28,0.9479294682445538
EditIntegration,FSlim,FT8,0.15688460977918697,1.057838260532138,0.2995021629777266,28,0.9479294682445538
EditIntegration,FSlim,FZ,-0.15290562709294822,-1.372952731880807,0.1810633688747279,28,0.9479294682445538
EditIntegration,FSlim,M1,0.0903653312170971,0.6113937782189943,0.546052680241613,28,0.9479294682445538
EditIntegration,FSlim,M2,0.01377882103718955,0.10356832967893202,0.9183066723619115,27,0.9479294682445538
EditIntegration,FSlim,O1,0.044844828528111016,0.32216095971428327,0.7498119864133624,28,0.9479294682445538
EditIntegration,FSlim,O2,0.01831100158827518,0.15522534290612477,0.8777983099218947,28,0.9479294682445538
EditIntegration,FSlim,OZ,0.16255935602564114,1.3539272901968613,0.18698473361821166,28,0.9479294682445538
EditIntegration,FSlim,P1,0.06650122909089115,0.6236308171336324,0.538103442060352,28,0.9479294682445538
EditIntegration,FSlim,P2,0.08181936741126918,0.6991550287585111,0.4904347411836189,28,0.9479294682445538
EditIntegration,FSlim,P3,-0.012730947462087217,-0.16630334399454796,0.8691573574014831,28,0.9479294682445538
EditIntegration,FSlim,P4,-0.014052708898514068,-0.1524529582645344,0.8799632504132778,28,0.9479294682445538
EditIntegration,FSlim,P5,-0.01933274381500254,-0.25587012531053804,0.7999904734331872,28,0.9479294682445538
EditIntegration,FSlim,P6,-0.08462619323908682,-0.5894361430116632,0.5604690728259267,28,0.9479294682445538
EditIntegration,FSlim,P7,0.08128357312385819,0.7615918397500514,0.4529050260461853,28,0.9479294682445538
EditIntegration,FSlim,P8,0.10869795776082168,0.9418186462523611,0.3546366210575408,28,0.9479294682445538
EditIntegration,FSlim,PO3,-0.0170181320459742,-0.13416672350517292,0.894265843217049,28,0.9479294682445538
EditIntegration,FSlim,PO4,0.07992401114484107,0.6388863812301812,0.5282799465215994,28,0.9479294682445538
EditIntegration,FSlim,PO5,0.017230376783185366,0.15711618764329144,0.8763223118321815,28,0.9479294682445538
EditIntegration,FSlim,PO6,0.06433048872931671,0.5206459558453498,0.6068571755401563,28,0.9479294682445538
EditIntegration,FSlim,PO7,0.17425119173248532,1.4463617246621363,0.1595856879469475,28,0.9479294682445538
EditIntegration,FSlim,PO8,0.029373694271875646,0.24164343611707517,0.8108823137584495,28,0.9479294682445538
EditIntegration,FSlim,POZ,0.05497394104349586,0.4268002959964334,0.672908842911812,28,0.9479294682445538
EditIntegration,FSlim,PZ,0.057500926913447714,0.5054684920234775,0.6173315188298678,28,0.9479294682445538
EditIntegration,FSlim,T7,0.04353015716658729,0.3729437297890972,0.7121022248775127,28,0.9479294682445538
EditIntegration,FSlim,T8,0.07839920357476915,0.7647618827315029,0.4510462793770674,28,0.9479294682445538
EditIntegration,FSlim,TP7,0.038423553628892326,0.36060817165154135,0.7211983783486665,28,0.9479294682445538
EditIntegration,FSlim,TP8,-0.06223830495438972,-0.8208669588030395,0.4191851474577031,27,0.9479294682445538
EditIntegration,Mouth,AF3,0.3401313111352037,3.000015608857639,0.005745492785516155,28,0.11447451121942157
EditIntegration,Mouth,AF4,0.23301126570417074,1.794752385676442,0.0838974882754594,28,0.17508502326845685
EditIntegration,Mouth,C1,0.023182944114355588,0.3639885528141244,0.718701494074341,28,0.8069630810659267
EditIntegration,Mouth,C2,-0.013083367407607585,-0.18881565851808846,0.8516494107248253,28,0.9238230895998104
EditIntegration,Mouth,C3,0.008521235417522432,0.09381561455531455,0.925948362075012,28,0.9514612564461105
EditIntegration,Mouth,C4,0.03095352834336382,0.5247018452708336,0.6040723651086771,28,0.7159376179065803
EditIntegration,Mouth,C5,-0.011941634161060736,-0.14117317112865235,0.8887811772127299,28,0.9324917269117166
EditIntegration,Mouth,C6,-0.042756353120769065,-0.5360251741477892,0.5963299350249716,28,0.7159376179065803
EditIntegration,Mouth,CB1,-0.23021902552164902,-1.1855166781247206,0.24614245618515065,28,0.375074218948801
EditIntegration,Mouth,CB2,-0.13287306024062184,-1.1583461186758244,0.25686635412509257,28,0.38231271311641685
EditIntegration,Mouth,CP1,-0.16945934372439433,-2.1020625088589338,0.045013015911763744,28,0.13718252468347045
EditIntegration,Mouth,CP2,-0.06802176111376267,-0.7213072802988807,0.4769205664317507,28,0.5991029056023804
EditIntegration,Mouth,CP3,-0.12941547576068382,-1.408585097936235,0.17037009432081915,28,0.2869391062245375
