identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,G_new_raw,G_new,G_raw,G,difference_z,mean_z
F_1,F_1_ (10).jpg,10,0,1,0,0,0.007362515998543041,0.0036101083032490976,0.015736097269099907,0.004998394297732564,0.013333333333333197,0.05786090005844535,0.00520833333333337,0.5563147538156699,-0.9484062565356328,0.7934251490402103,-0.318703660026538,-0.6297025965090948,-0.6335549582810854
F_1,F_1_ (11).jpg,11,0,1,0,1,0.009059541349531729,0.005105464124090596,0.01654359456662758,0.007368890100910545,0.03543859649122805,0.05786090005844535,0.010015502610966065,0.7770119847946805,-0.25857949681665,1.0521235473981223,0.6971245888476627,-0.9557040856643126,0.21927254601550636
F_1,F_1_ (12).jpg,12,1,1,0,0,0.017799657173342545,0.006252891002053708,0.03269092107630837,0.018272927278519233,0.0749122807017546,0.1694915254237288,0.014729166666666682,1.4855394261219155,1.9560436176402407,1.1250570717454116,0.983511883056686,0.9725317345835547,1.4697777503484635
F_1,F_1_ (13).jpg,13,1,1,0,1,0.0175349136968228,0.009551448776406464,0.031264455010268546,0.016817968996508774,0.040000000000000036,0.1268264172998248,0.009395833333333381,1.283247065151336,1.3237444117770312,1.2923990424244802,1.6406118191872998,-0.31686740741026864,1.4821781154821654
F_1,F_1_ (14).jpg,14,0,1,1,0,0.0052429451250873005,0.005105464124090596,0.008842923259145046,0.0019179289930229663,0.06342342342342322,0.09731151373465785,0.0026041666666666297,0.5648498256982021,-0.9217284366346856,0.6316634726164291,-0.953891514066451,0.032163077431765386,-0.9378099753505683
F_1,F_1_ (15).jpg,15,0,1,1,1,0.004637437844112014,0.0036101083032490976,0.008842923259145046,0.002486611510804817,0.013333333333333197,0.09731151373465785,0.00042613636363630913,0.4061579448952185,-1.417746920611244,0.99303817408842,0.465114682005354,-1.882861602616598,-0.47631611930294504
F_1,F_1_ (16).jpg,16,1,1,1,0,0.01212854768737696,0.006252891002053708,0.018758673006161127,0.0172497357392393,0.013333333333333197,0.011104617182934096,0.012062499999999976,0.8938460420165448,0.10660523504727593,1.0796276945816854,0.8051248310122947,-0.6985195959650188,0.4558650330297853
F_1,F_1_ (17).jpg,17,1,1,1,1,0.011786461777098375,0.006252891002053708,0.018408012684450487,0.01737947929779871,0.013333333333333197,0.028345996493278847,0.009395833333333381,0.8589666893668575,-0.0024161183820193654,1.0304905643892075,0.6121785845918951,-0.6145947029739145,0.30488123310493787
F_1,F_1_ (2).jpg,2,0,0,0,0,0.008270792902318193,0.0036101083032490976,0.016932908880228987,0.0036972311666496407,0.04859649122807008,0.10169491525423746,0.002182604438642266,0.6244730899279035,-0.7353657759660734,0.6784389309658619,-0.7702188193493628,0.03485304338328932,-0.7527922976577182
F_1,F_1_ (3).jpg,3,0,0,0,1,0.005794226220773976,0.0,0.016144895144402815,0.0034219014354439923,0.0,0.10169491525423746,0.002182604438642266,0.4347608508759738,-1.3283436695431432,0.8025467461953829,-0.2828859815102015,-1.0454576880329416,-0.8056148255266724
