,A,A2,G,I,alignment_rmse
A,1.0,0.7573260073260073,0.37051282051282053,0.4248168498168498,0.07380952380952381
A2,0.7573260073260073,1.0,0.15283882783882785,0.1358974358974359,0.11533882783882785
G,0.37051282051282053,0.15283882783882785,1.0,0.2504120879120879,0.3740842490842491
I,0.4248168498168498,0.1358974358974359,0.2504120879120879,1.0,0.07857142857142857
alignment_rmse,0.07380952380952381,0.11533882783882785,0.3740842490842491,0.07857142857142857,1.0
