,A,A2,G,I,alignment_rmse
A,1.0,0.6188899630757058,0.3758750523622742,0.49331182215697256,0.15586229418826283
A2,0.6188899630757058,1.0,-0.05212674392980766,0.07204544823361819,0.07756682827374037
G,0.3758750523622742,-0.05212674392980766,1.0,0.26727199455257494,0.4988016764036046
I,0.49331182215697256,0.07204544823361819,0.26727199455257494,1.0,0.10146981055088179
alignment_rmse,0.15586229418826283,0.07756682827374037,0.4988016764036046,0.10146981055088179,1.0
