identity,picture_filename,cond_id,fslim,eye,mouth,skin,a2_chroma_js,a2_luminance,a2_texture,alignment_rmse,A2_raw,A2,A,G,I
F_1,F_1_ (10).jpg,10,0,1,0,0,2.4983553725293253e-06,1.4499139672327601,0.0055766925,1.840566645483259,0.07273160197046105,-0.9677715688466135,-1.3165763309684246,-0.318703660026538,0.539492453728172
F_1,F_1_ (11).jpg,11,0,1,0,1,6.041204150635096e-07,15.945387895563726,0.09716086,2.0243866756481563,0.9811240762802216,0.4647798240755697,0.3749842904072128,0.6971245888476627,1.6003806040236062
F_1,F_1_ (12).jpg,12,1,1,0,0,0.001160125355917342,7.298122241340593,0.025213756,3.030792807637698,0.3539102147595008,-0.524347801254379,0.1811659833639672,0.983511883056686,1.634462092721513
F_1,F_1_ (13).jpg,13,1,1,0,1,0.0009709303167261262,8.712052068526987,0.0746582,2.669683645040856,0.6471371820578226,-0.06192356027336276,1.498842160767616,1.6406118191872998,2.144398963201695
F_1,F_1_ (14).jpg,14,0,1,1,0,0.00018779678701740215,2.1092242088725754,0.0072957245,1.0385641120901636,0.10203554353509324,-0.9215587219838935,-1.2132478123867974,-0.953891514066451,-0.6789848567901982
F_1,F_1_ (15).jpg,15,0,1,1,1,0.0002264178930137365,13.101369043166017,0.09021573,0.9429831925207406,0.8591253405692486,0.27238560712622994,0.5958543364731246,0.465114682005354,-0.0662222404713259
F_1,F_1_ (16).jpg,16,1,1,1,0,0.0019119727143737954,10.144535049001263,0.032991692,1.7528281269863335,0.4821312678991454,-0.3221408769657136,0.2650204152073806,0.8051248310122947,0.0993982560993116
F_1,F_1_ (17).jpg,17,1,1,1,1,0.001803079728063942,4.283160020947122,0.061828576,1.3968756461076908,0.44791134322240317,-0.376106318278521,1.51517999082245,0.6121785845918951,0.6689215470440347
F_1,F_1_ (2).jpg,2,0,0,0,0,0.0,2.244781925637767,0.010046004,1.719109709230421,0.11974203075567934,-0.8936352707786386,-1.3826482347871638,-0.7702188193493628,0.6766167813398176
F_1,F_1_ (3).jpg,3,0,0,0,1,2.3660512450991445e-05,15.291688486571417,0.09437822,1.9329673317650349,0.9470226033245064,0.41100118327327984,0.3161434853741072,-0.2828859815102015,0.6995069961376386
F_1,F_1_ (4).jpg,4,1,0,0,0,0.000997309908241153,6.56557193087454,0.022153715,2.8786581600092815,0.3156167742270608,-0.5847372508876038,0.0004502600412462,2.1844282176630254,0.6414844622296325
F_1,F_1_ (5).jpg,5,1,0,0,1,0.0012105342384451617,7.558165631779758,0.07079188,2.775530187148876,0.592626534019339,-0.14788784001484398,1.5005931573197029,0.8736859017222851,0.8149507861957747
F_1,F_1_ (6).jpg,6,0,0,1,0,0.0003766835078666852,3.0463828832198487,0.010181263,1.4084738122400893,0.14577835398406344,-0.8525755172445344,-1.2721700372211824,-0.2641022383807847,-0.1345468062016326
F_1,F_1_ (7).jpg,7,0,0,1,1,0.00011283763566183682,14.006882621381038,0.09292602,0.963710920471243,0.9004114126814855,0.3374944909901252,0.4620314823031884,1.099191068332833,-0.0362520820717506
F_1,F_1_ (8).jpg,8,1,0,1,0,0.0025644477624874405,10.266103089698504,0.03384223,1.5132128132342042,0.49145805342936805,-0.3074323671743271,-0.2378891485836353,-0.4371740124695871,-0.1797775083487825
F_1,F_1_ (9).jpg,9,1,0,1,1,0.0025083647182834777,3.6186878132714924,0.060511015,1.2636722686347157,0.4222428356868369,-0.41658601979988125,1.3803336571176923,-0.2734552075652793,0.0792500651522053
F_2,F_2_ (10).jpg,10,0,1,0,0,0.005847143835630047,1.384486052732143,0.0059351344,2.1831555897537664,0.08410288103265035,-0.9498388557071481,-1.2890766043066997,-1.2143992949974451,-1.229260645440373
F_2,F_2_ (11).jpg,11,0,1,0,1,0.22419607470083397,15.737562094000765,0.08883059,2.279626354314821,1.3762499937657688,1.0879005560077435,0.5034207025800204,-0.2920156396577637,-0.965297390207955
F_2,F_2_ (12).jpg,12,1,1,0,0,0.009782060571175782,4.752770347726397,0.015501089,2.6743442392824943,0.2436903090979402,-0.6981665897721909,-0.8202330092255179,1.2881329825228718,-1.1211308837032812
F_2,F_2_ (13).jpg,13,1,1,0,1,0.20561215281182627,4.085823461979373,0.052287355,2.974638871216072,0.7968891575672096,0.1742380187531798,0.7567565527971426,0.2402008987741227,-0.310677563418666
F_2,F_2_ (14).jpg,14,0,1,1,0,0.010153365248179811,0.7154757355750689,0.0043433257,1.6813834709144666,0.06403317941326458,-0.9814891388430028,-1.322274898873927,-0.8088533289619124,-1.574093209865471
F_2,F_2_ (15).jpg,15,0,1,1,1,0.21898118327370855,12.740160489109684,0.08228375,1.4178925758286969,1.2407918009660917,0.8742805313313522,0.6502873434924613,-0.6177568096726944,-1.322826663910099
F_2,F_2_ (16).jpg,16,1,1,1,0,0.005325255139376119,8.373404661826498,0.026190627,1.14170130119806,0.4001032886796183,-0.4515004866199157,-0.9012767340383364,0.3074423415788043,-1.4949930930776392
F_2,F_2_ (17).jpg,17,1,1,1,1,0.2021021660058846,6.194573939625542,0.058882155,1.5843459101122326,0.888045834904677,0.3179937507600669,0.7281456817934572,0.3975896654197136,-0.8392677899167569
F_2,F_2_ (2).jpg,2,0,0,0,0,0.017965387065748333,1.6273595720290643,0.006837295,1.8052755722800715,0.12010406818141557,-0.89306433119779,-1.3047936960021582,-0.597986270455119,-1.387094214504561
F_2,F_2_ (3).jpg,3,0,0,0,1,0.22479354168834792,15.718609094382884,0.08843982,2.1166252179943443,1.3748731598113784,1.0857292639121288,0.7560415378209412,-0.5027659000906691,-0.6912540321876057
F_2,F_2_ (4).jpg,4,1,0,0,0,0.008633815941979501,5.304852884982807,0.018233225,2.9649034593607735,0.2721902816694319,-0.6532216165803366,-0.5684649793949106,1.587995969487773,-1.149475903098639
F_2,F_2_ (5).jpg,5,1,0,0,1,0.2276552626214977,11.154069545280862,0.0745892,2.776980036976257,1.170333249300068,0.763166118578057,1.077858306295295,0.8969694188271569,-0.3778829847754748
F_2,F_2_ (6).jpg,6,0,0,1,0,0.014281733403142908,0.47734046618265324,0.0025364298,1.6534153613969558,0.05574956732715769,-0.9945525452097237,-1.3440861899442889,-0.8909238113356499,-1.5986990086070665
F_2,F_2_ (7).jpg,7,0,0,1,1,0.22248203618619888,13.710966755827286,0.08404332,1.1225657215821312,1.28642386098813,0.9462431168824391,0.7168733929207828,-0.3839646441920076,-1.0774145913293076
F_2,F_2_ (8).jpg,8,1,0,1,0,0.007528201025669168,9.63232709209018,0.030025901,1.3061838396321441,0.46251461812964756,-0.35307668912456475,-0.758362607929743,0.8799282368793515,-1.431906802686726
F_2,F_2_ (9).jpg,9,1,0,1,1,0.21924319652438662,5.435460450897978,0.057634577,1.4608027102609256,0.8923508234242791,0.32478279566596613,0.985952188847488,0.907414897749006,-0.7675790206690402
M_1,M_1_ (10).jpg,10,0,1,0,0,0.0013184399435655896,0.10156465970032968,0.007939755,1.8718097172482107,0.04590343783360943,-1.0100800698422814,-1.3600585066705866,-1.5458877904054753,-0.6455506643280341
M_1,M_1_ (11).jpg,11,0,1,0,1,0.4315443848383729,17.681262785425986,0.098711915,1.6625337304311931,1.8962360981169588,1.9079280652123878,0.0588007827221358,-0.6266148683709102,-0.4785917796673235
M_1,M_1_ (12).jpg,12,1,1,0,0,0.003612908768295462,2.240559517885771,0.015342937,2.645788376573656,0.1535654690327437,-0.8402950957028339,-0.1871821702294842,1.6542530490091425,-0.0715150262190408
M_1,M_1_ (13).jpg,13,1,1,0,1,0.4094522899731209,19.035273953668366,0.1136644,2.6036996969102737,1.9697443644383448,2.0238519332409197,0.5591800112149787,1.3352216055297643,0.0858037421637919
M_1,M_1_ (14).jpg,14,0,1,1,0,0.00023590121578254467,0.7160944324652974,0.004365498,1.5576737390202933,0.044538794375059365,-1.0122321373050522,-1.340635048598396,-0.5242178433610393,-0.8432230974631273
M_1,M_1_ (15).jpg,15,0,1,1,1,0.41830972426703794,17.979211588433685,0.10641348,1.595787220418207,1.9181636124669446,1.9425081526897328,0.0996363882784892,-1.5105381498305428,-0.6091972613138101
M_1,M_1_ (16).jpg,16,1,1,1,0,0.006534117651165985,3.11079781058217,0.024444623,1.2062937000301088,0.23211592003582307,-0.7164196110620891,-0.4254196522276436,0.2924885627064005,-0.5966945203238633
M_1,M_1_ (17).jpg,17,1,1,1,1,0.40596017880413965,19.68502239177309,0.123649485,2.0346486235936676,2.0333054093736895,2.1240888528905515,0.5721788095997777,-0.1948778523297674,-0.1886947460560626
M_1,M_1_ (2).jpg,2,0,0,0,0,0.0010183854044718444,0.055951788577431216,0.0070897504,2.033441166488474,0.03960831247339305,-1.020007596609002,-1.3639007364059712,-1.5329256790047487,-0.3744945538224111
M_1,M_1_ (3).jpg,3,0,0,0,1,0.4696470636281814,18.376789959639524,0.10387749,1.8445872426275944,2.019126300164434,2.1017281407286097,0.2845992708360466,-1.593828555038739,-0.3470814416185749
