model,subj,metric,time_ms,beta_uV
original_A,s1,I,740.0,-0.3333398295886939
original_A,s1,I,760.0,-0.6493473489486794
original_A,s1,I,780.0,-0.6465460933449612
original_A,s1,I,800.0,-0.2967295905528533
original_A,s1,I,820.0,-0.006783103489179904
original_A,s1,I,840.0,-0.359744340311385
original_A,s1,I,860.0,-0.5700476702963811
original_A,s1,I,880.0,-0.44048615138258107
original_A,s1,I,900.0,-0.3792459309499119
original_A,s1,I,920.0,-0.3106917508768876
original_A,s1,I,940.0,-0.16722719103448894
original_A,s1,I,960.0,-0.4810355417527758
original_A,s1,I,980.0,-0.7682037817396922
A2,s1,G_new,0.0,0.2190787840393364
A2,s1,G_new,20.0,-0.0053516951292561475
A2,s1,G_new,40.0,-0.04653477008047537
A2,s1,G_new,60.0,0.0033924371778141157
A2,s1,G_new,80.0,0.18013180388362113
A2,s1,G_new,100.0,0.0738004937843965
A2,s1,G_new,120.0,-0.1141408917943351
A2,s1,G_new,140.0,0.05665489865659838
A2,s1,G_new,160.0,0.14421240190787146
A2,s1,G_new,180.0,0.21181270416997625
A2,s1,G_new,200.0,0.11737034418370373
A2,s1,G_new,220.0,0.0837558243320357
A2,s1,G_new,240.0,0.16466653979677826
A2,s1,G_new,260.0,0.2802990981280649
A2,s1,G_new,280.0,0.3072835455550358
A2,s1,G_new,300.0,0.19108076175724525
A2,s1,G_new,320.0,0.061150404413316775
A2,s1,G_new,340.0,0.16846818373247996
A2,s1,G_new,360.0,0.1057364201170091
A2,s1,G_new,380.0,0.08699737386853829
A2,s1,G_new,400.0,0.2124609036792289
A2,s1,G_new,420.0,0.14553655900708612
A2,s1,G_new,440.0,0.06374153675379207
A2,s1,G_new,460.0,0.23405902705888113
A2,s1,G_new,480.0,0.5213866735375916
A2,s1,G_new,500.0,0.4214094370508201
A2,s1,G_new,520.0,0.29082650472070737
A2,s1,G_new,540.0,0.15294763297095415
A2,s1,G_new,560.0,0.29849264598088154
A2,s1,G_new,580.0,0.39350333273755406
A2,s1,G_new,600.0,0.24895937423881837
A2,s1,G_new,620.0,0.07796520209787422
A2,s1,G_new,640.0,0.09640733165219428
A2,s1,G_new,660.0,0.1914289757667077
A2,s1,G_new,680.0,0.23789071050937352
A2,s1,G_new,700.0,0.15428214607165497
A2,s1,G_new,720.0,0.08526129953799921
A2,s1,G_new,740.0,0.05778729135903864
A2,s1,G_new,760.0,0.09400237509134425
A2,s1,G_new,780.0,0.07148544294465412
A2,s1,G_new,800.0,0.05638988837301795
A2,s1,G_new,820.0,0.06786023730428796
A2,s1,G_new,840.0,0.1885603527256501
A2,s1,G_new,860.0,0.07915019214950307
A2,s1,G_new,880.0,0.059499741260345546
A2,s1,G_new,900.0,0.08658491464982432
A2,s1,G_new,920.0,0.0011765369918382285
A2,s1,G_new,940.0,0.0518156647636393
A2,s1,G_new,960.0,0.17605398496469246
A2,s1,G_new,980.0,0.18996473935759495
A2,s1,A2,0.0,0.10929727104976197
A2,s1,A2,20.0,-0.024603132487740216
A2,s1,A2,40.0,0.04788948815157214
A2,s1,A2,60.0,0.3044771681363377
A2,s1,A2,80.0,0.3229497655906679
A2,s1,A2,100.0,0.236839777973077
A2,s1,A2,120.0,0.11739170927505263
A2,s1,A2,140.0,0.14407297175032227
A2,s1,A2,160.0,0.15497312267617847
A2,s1,A2,180.0,0.2897046616306366
A2,s1,A2,200.0,0.0988071468139326
A2,s1,A2,220.0,0.0005814487202242605
A2,s1,A2,240.0,0.050962742815100874
A2,s1,A2,260.0,0.1451553317277186
A2,s1,A2,280.0,0.32471154733985363
A2,s1,A2,300.0,0.2280136544946007
A2,s1,A2,320.0,-0.03174225353450896
A2,s1,A2,340.0,-0.014516288496961828
A2,s1,A2,360.0,0.3993570294533941
A2,s1,A2,380.0,0.37893098900132965
A2,s1,A2,400.0,-0.06696632231918224
A2,s1,A2,420.0,-0.05975085309635157
A2,s1,A2,440.0,0.34214842058464334
A2,s1,A2,460.0,0.35326392191340095
A2,s1,A2,480.0,0.1646725683278274
A2,s1,A2,500.0,0.024443117283299162
A2,s1,A2,520.0,0.042571612431864476
A2,s1,A2,540.0,0.1366307634596503
A2,s1,A2,560.0,0.1180715716307296
A2,s1,A2,580.0,0.050236386855825
A2,s1,A2,600.0,0.0826742067999303
A2,s1,A2,620.0,-0.017364313512619724
A2,s1,A2,640.0,-0.028592648892854924
A2,s1,A2,660.0,0.0008762649150062807
A2,s1,A2,680.0,0.09493541908783626
A2,s1,A2,700.0,0.009958929762977242
A2,s1,A2,720.0,0.042216316272289306
A2,s1,A2,740.0,0.15118493587221757
A2,s1,A2,760.0,0.21309036741265613
A2,s1,A2,780.0,0.10235411839977603
A2,s1,A2,800.0,-0.17516096193444175
A2,s1,A2,820.0,-0.3670815322756547
A2,s1,A2,840.0,-0.2627884206372276
A2,s1,A2,860.0,-0.09197909680238558
A2,s1,A2,880.0,-0.1641557830321824
A2,s1,A2,900.0,-0.12899585184956197
A2,s1,A2,920.0,-0.17455533760977884
A2,s1,A2,940.0,-0.08941196401612493
A2,s1,A2,960.0,-0.043473106298274694
A2,s1,A2,980.0,0.04606781039497483
A2,s1,I,0.0,-0.2552509931693024
A2,s1,I,20.0,0.026023756843431944
A2,s1,I,40.0,-0.03339555368137402
A2,s1,I,60.0,-0.28021319022953983
A2,s1,I,80.0,-0.3693825117366753
A2,s1,I,100.0,-0.18034338202015904
A2,s1,I,120.0,-0.13173753326139478
A2,s1,I,140.0,-0.3439716736207705
A2,s1,I,160.0,-0.33181893861654604
A2,s1,I,180.0,-0.38074622071368036
A2,s1,I,200.0,-0.19827617686997007
A2,s1,I,220.0,-0.11958138701802115
A2,s1,I,240.0,-0.23483573804452995
A2,s1,I,260.0,-0.4431313568967969
A2,s1,I,280.0,-0.4323128135660671
A2,s1,I,300.0,-0.23507981192515517
A2,s1,I,320.0,-0.21158185630091875
A2,s1,I,340.0,-0.44795536589715995
A2,s1,I,360.0,-0.5575322782891516
A2,s1,I,380.0,-0.21998485379052837
A2,s1,I,400.0,-0.00010610077753256397
A2,s1,I,420.0,-0.32610984527097997
A2,s1,I,440.0,-0.5189770555668202
A2,s1,I,460.0,-0.405369047059609
A2,s1,I,480.0,-0.4769079805983362
A2,s1,I,500.0,-0.3540736723657338
A2,s1,I,520.0,-0.5721577388990989
A2,s1,I,540.0,-0.4916972027743088
A2,s1,I,560.0,-0.2602116283855256
A2,s1,I,580.0,-0.4209784414845976
A2,s1,I,600.0,-0.5241857844637536
A2,s1,I,620.0,-0.13979397613314343
A2,s1,I,640.0,-0.1247953236470018
A2,s1,I,660.0,-0.34921962810129836
A2,s1,I,680.0,-0.4651870000578322
A2,s1,I,700.0,-0.4346974819584212
A2,s1,I,720.0,-0.2772364291202724
A2,s1,I,740.0,-0.3461248396222701
A2,s1,I,760.0,-0.6122291996029346
A2,s1,I,780.0,-0.5784391518703335
A2,s1,I,800.0,-0.3726962576283693
A2,s1,I,820.0,-0.13038983247174937
A2,s1,I,840.0,-0.4311241494472237
A2,s1,I,860.0,-0.5390014946099893
A2,s1,I,880.0,-0.3673134967600028
A2,s1,I,900.0,-0.34025474218248364
A2,s1,I,920.0,-0.2922227409087418
A2,s1,I,940.0,-0.09014198993307199
A2,s1,I,960.0,-0.340180927693818
A2,s1,I,980.0,-0.6004686336032761
robust_A_AR,s1,G_new,0.0,0.20512436215827196
robust_A_AR,s1,G_new,20.0,-0.0019276127256884976
robust_A_AR,s1,G_new,40.0,-0.05249103626530354
robust_A_AR,s1,G_new,60.0,-0.03565288094033696
robust_A_AR,s1,G_new,80.0,0.13877161731648086
robust_A_AR,s1,G_new,100.0,0.04340468906866551
robust_A_AR,s1,G_new,120.0,-0.12917916505576194
robust_A_AR,s1,G_new,140.0,0.038098571475567646
robust_A_AR,s1,G_new,160.0,0.12411136439579994
robust_A_AR,s1,G_new,180.0,0.17443413681851969
robust_A_AR,s1,G_new,200.0,0.10471707132869992
robust_A_AR,s1,G_new,220.0,0.08385583439105716
robust_A_AR,s1,G_new,240.0,0.15826301098259693
robust_A_AR,s1,G_new,260.0,0.26150333305384454
robust_A_AR,s1,G_new,280.0,0.2654001059011836
robust_A_AR,s1,G_new,300.0,0.16171012435573276
robust_A_AR,s1,G_new,320.0,0.06502359892460717
robust_A_AR,s1,G_new,340.0,0.1700073915882544
robust_A_AR,s1,G_new,360.0,0.05419495161580061
robust_A_AR,s1,G_new,380.0,0.0380499922977381
robust_A_AR,s1,G_new,400.0,0.22058160654034828
robust_A_AR,s1,G_new,420.0,0.15285576185370917
robust_A_AR,s1,G_new,440.0,0.01990091938993989
robust_A_AR,s1,G_new,460.0,0.18885333591865788
robust_A_AR,s1,G_new,480.0,0.5003486659182423
robust_A_AR,s1,G_new,500.0,0.41840542040722856
robust_A_AR,s1,G_new,520.0,0.28552859273862585
robust_A_AR,s1,G_new,540.0,0.13552680632623357
robust_A_AR,s1,G_new,560.0,0.28342514141218644
robust_A_AR,s1,G_new,580.0,0.38718131254033195
robust_A_AR,s1,G_new,600.0,0.23829782932286397
robust_A_AR,s1,G_new,620.0,0.0803958483153176
robust_A_AR,s1,G_new,640.0,0.10048325416980708
robust_A_AR,s1,G_new,660.0,0.19117309597848262
robust_A_AR,s1,G_new,680.0,0.2255410905908136
robust_A_AR,s1,G_new,700.0,0.15302506385314385
robust_A_AR,s1,G_new,720.0,0.07995901499177599
robust_A_AR,s1,G_new,740.0,0.038380507815479165
robust_A_AR,s1,G_new,760.0,0.066518999639016
robust_A_AR,s1,G_new,780.0,0.05816563927540791
robust_A_AR,s1,G_new,800.0,0.07908858877614497
robust_A_AR,s1,G_new,820.0,0.11534546946111096
robust_A_AR,s1,G_new,840.0,0.22251397426331812
robust_A_AR,s1,G_new,860.0,0.09090213187823998
robust_A_AR,s1,G_new,880.0,0.08043159106555281
robust_A_AR,s1,G_new,900.0,0.10307712983188794
robust_A_AR,s1,G_new,920.0,0.023574500841903934
robust_A_AR,s1,G_new,940.0,0.06312890792848258
robust_A_AR,s1,G_new,960.0,0.18131063925514634
robust_A_AR,s1,G_new,980.0,0.18364620517383767
robust_A_AR,s1,AR,0.0,0.06961911154588508
robust_A_AR,s1,AR,20.0,-0.09120637093421546
robust_A_AR,s1,AR,40.0,-0.011675845673756999
robust_A_AR,s1,AR,60.0,0.23973199323908298
robust_A_AR,s1,AR,80.0,0.23985664301382373
robust_A_AR,s1,AR,100.0,0.19291739859121726
robust_A_AR,s1,AR,120.0,0.08823237272239094
robust_A_AR,s1,AR,140.0,0.1350114390146668
robust_A_AR,s1,AR,160.0,0.18281742464156314
robust_A_AR,s1,AR,180.0,0.28887946136234594
robust_A_AR,s1,AR,200.0,0.0731279071018801
robust_A_AR,s1,AR,220.0,-0.04615341597234434
robust_A_AR,s1,AR,240.0,0.004936818514545582
robust_A_AR,s1,AR,260.0,0.1627343232112507
robust_A_AR,s1,AR,280.0,0.3206302980410159
robust_A_AR,s1,AR,300.0,0.2144492105113517
robust_A_AR,s1,AR,320.0,0.027698819186238705
robust_A_AR,s1,AR,340.0,0.07463048317300884
robust_A_AR,s1,AR,360.0,0.40228394758731756
robust_A_AR,s1,AR,380.0,0.39295450535916543
robust_A_AR,s1,AR,400.0,0.071929547415702
robust_A_AR,s1,AR,420.0,0.04455814956358807
robust_A_AR,s1,AR,440.0,0.2598984147401363
robust_A_AR,s1,AR,460.0,0.25253740725776586
robust_A_AR,s1,AR,480.0,0.10852246326388384
robust_A_AR,s1,AR,500.0,-0.015598615864757255
robust_A_AR,s1,AR,520.0,-0.009562863989457472
robust_A_AR,s1,AR,540.0,0.08078937553376868
robust_A_AR,s1,AR,560.0,0.07329434416543441
robust_A_AR,s1,AR,580.0,0.0074720793521392825
robust_A_AR,s1,AR,600.0,0.0810155851640186
robust_A_AR,s1,AR,620.0,-0.06811178549610789
robust_A_AR,s1,AR,640.0,-0.13179049848908375
robust_A_AR,s1,AR,660.0,0.03900718815344584
robust_A_AR,s1,AR,680.0,0.12156970362815658
robust_A_AR,s1,AR,700.0,0.0024948957786533436
robust_A_AR,s1,AR,720.0,0.003490007133507722
robust_A_AR,s1,AR,740.0,0.12417387786669226
robust_A_AR,s1,AR,760.0,0.20976397456324228
robust_A_AR,s1,AR,780.0,0.13243850341274066
robust_A_AR,s1,AR,800.0,-0.2010699747990109
robust_A_AR,s1,AR,820.0,-0.39894858613622464
robust_A_AR,s1,AR,840.0,-0.274820838006114
robust_A_AR,s1,AR,860.0,-0.06088382364952064
robust_A_AR,s1,AR,880.0,-0.09746579913352421
robust_A_AR,s1,AR,900.0,-0.08825315328256163
robust_A_AR,s1,AR,920.0,-0.14103251239816897
robust_A_AR,s1,AR,940.0,-0.029627477558049342
robust_A_AR,s1,AR,960.0,0.05073553433652864
robust_A_AR,s1,AR,980.0,0.14598884293516315
robust_A_AR,s1,I,0.0,-0.2491940846120751
robust_A_AR,s1,I,20.0,0.07589710674746883
robust_A_AR,s1,I,40.0,-0.0021301488643246857
robust_A_AR,s1,I,60.0,-0.294399649603065
robust_A_AR,s1,I,80.0,-0.374648390983062
robust_A_AR,s1,I,100.0,-0.19574688325764605
robust_A_AR,s1,I,120.0,-0.13436043184823276
robust_A_AR,s1,I,140.0,-0.36531896924024254
robust_A_AR,s1,I,160.0,-0.3802802811579572
robust_A_AR,s1,I,180.0,-0.43547174116910825
robust_A_AR,s1,I,200.0,-0.1997131402980831
robust_A_AR,s1,I,220.0,-0.08799119084443435
robust_A_AR,s1,I,240.0,-0.2133408536694365
robust_A_AR,s1,I,260.0,-0.48275598174201273
robust_A_AR,s1,I,280.0,-0.49151016972139233
robust_A_AR,s1,I,300.0,-0.26939136608150854
robust_A_AR,s1,I,320.0,-0.24584440099014912
robust_A_AR,s1,I,340.0,-0.5056551425990523
robust_A_AR,s1,I,360.0,-0.6357282456848963
robust_A_AR,s1,I,380.0,-0.30180988998053226
robust_A_AR,s1,I,400.0,-0.081542437580722
robust_A_AR,s1,I,420.0,-0.38546219729893233
robust_A_AR,s1,I,440.0,-0.5284785779792649
robust_A_AR,s1,I,460.0,-0.40445880561411623
robust_A_AR,s1,I,480.0,-0.4702452807169549
robust_A_AR,s1,I,500.0,-0.331577154542266
robust_A_AR,s1,I,520.0,-0.5449180000329286
robust_A_AR,s1,I,540.0,-0.4798926041033214
robust_A_AR,s1,I,560.0,-0.2523703520608122
robust_A_AR,s1,I,580.0,-0.40155736155951816
robust_A_AR,s1,I,600.0,-0.538837693580567
robust_A_AR,s1,I,620.0,-0.10205730404593866
robust_A_AR,s1,I,640.0,-0.04933781427792194
robust_A_AR,s1,I,660.0,-0.3752517857831149
robust_A_AR,s1,I,680.0,-0.5013703770389986
robust_A_AR,s1,I,700.0,-0.43153497892278747
robust_A_AR,s1,I,720.0,-0.2590239052150103
robust_A_AR,s1,I,740.0,-0.35665382659221523
robust_A_AR,s1,I,760.0,-0.6506375616532021
robust_A_AR,s1,I,780.0,-0.6183785324150968
robust_A_AR,s1,I,800.0,-0.3216951487296328
robust_A_AR,s1,I,820.0,-0.038722452075672376
robust_A_AR,s1,I,840.0,-0.37281357270581716
robust_A_AR,s1,I,860.0,-0.5425413493179481
robust_A_AR,s1,I,880.0,-0.3812242185859452
robust_A_AR,s1,I,900.0,-0.3432746046765374
robust_A_AR,s1,I,920.0,-0.2816509619314982
robust_A_AR,s1,I,940.0,-0.11363218295949451
robust_A_AR,s1,I,960.0,-0.39578834488480474
robust_A_AR,s1,I,980.0,-0.6770382561685827
original_A,s2,G_new,0.0,0.14148710984065807
original_A,s2,G_new,20.0,0.2231733035075215
original_A,s2,G_new,40.0,0.30409760147247183
original_A,s2,G_new,60.0,0.33470769969590686
original_A,s2,G_new,80.0,0.19951424564306067
original_A,s2,G_new,100.0,0.17895550750041433
original_A,s2,G_new,120.0,0.139257769609857
original_A,s2,G_new,140.0,0.17635334835401267
original_A,s2,G_new,160.0,0.1686149311849682
original_A,s2,G_new,180.0,0.0869795675847079
original_A,s2,G_new,200.0,0.15047515540205764
original_A,s2,G_new,220.0,0.22991493544060285
original_A,s2,G_new,240.0,0.1143679910783027
original_A,s2,G_new,260.0,0.08607896658624853
original_A,s2,G_new,280.0,0.2775620371809761
original_A,s2,G_new,300.0,0.28190839034539406
original_A,s2,G_new,320.0,0.1899082141214308
original_A,s2,G_new,340.0,0.29082753871516487
original_A,s2,G_new,360.0,0.2624960305962933
original_A,s2,G_new,380.0,0.13978996297892912
original_A,s2,G_new,400.0,0.12202966618899128
original_A,s2,G_new,420.0,0.2621067032476888
original_A,s2,G_new,440.0,0.3103445831852778
original_A,s2,G_new,460.0,0.34745973525412216
original_A,s2,G_new,480.0,0.4039372464893892
original_A,s2,G_new,500.0,0.31161782699646035
original_A,s2,G_new,520.0,0.38175653142150967
original_A,s2,G_new,540.0,0.3456056395970841
original_A,s2,G_new,560.0,0.23650871972572712
original_A,s2,G_new,580.0,0.3219836588187627
original_A,s2,G_new,600.0,0.18168519924271248
original_A,s2,G_new,620.0,0.18838111523575585
original_A,s2,G_new,640.0,0.11056729450614451
original_A,s2,G_new,660.0,0.11027588965662169
original_A,s2,G_new,680.0,0.08454197059043875
original_A,s2,G_new,700.0,0.27194731199697686
original_A,s2,G_new,720.0,0.3405419580697438
original_A,s2,G_new,740.0,0.28388912197473365
original_A,s2,G_new,760.0,0.2325473032961775
original_A,s2,G_new,780.0,0.19951302180338723
original_A,s2,G_new,800.0,0.3295866404100194
original_A,s2,G_new,820.0,0.4398964040675951
original_A,s2,G_new,840.0,0.496087311988582
original_A,s2,G_new,860.0,0.4525805056670955
original_A,s2,G_new,880.0,0.5050613603126668
original_A,s2,G_new,900.0,0.5130160821476623
original_A,s2,G_new,920.0,0.43479264722780236
original_A,s2,G_new,940.0,0.3407315703419674
original_A,s2,G_new,960.0,0.4080752628529914
original_A,s2,G_new,980.0,0.34357485986865166
original_A,s2,A,0.0,-0.10987174188092992
original_A,s2,A,20.0,-0.13082304365004666
original_A,s2,A,40.0,-0.19733596953126176
original_A,s2,A,60.0,-0.26602891514084004
original_A,s2,A,80.0,-0.11229322747967763
original_A,s2,A,100.0,-0.11100020802826258
original_A,s2,A,120.0,-0.3495604441466108
original_A,s2,A,140.0,-0.2632937812610807
original_A,s2,A,160.0,-0.0520435584241756
original_A,s2,A,180.0,0.0063328562103611985
original_A,s2,A,200.0,-0.13358226502978698
original_A,s2,A,220.0,-0.038536518778058526
original_A,s2,A,240.0,0.1360667003974182
original_A,s2,A,260.0,0.19706274635034593
original_A,s2,A,280.0,0.3525582635801519
original_A,s2,A,300.0,0.17031839177590774
original_A,s2,A,320.0,0.23987846360046033
original_A,s2,A,340.0,0.45434280376864866
original_A,s2,A,360.0,0.3925455443266455
original_A,s2,A,380.0,0.4316499508968169
original_A,s2,A,400.0,0.4211801100274922
original_A,s2,A,420.0,0.35326114793627306
original_A,s2,A,440.0,0.3303862718820673
original_A,s2,A,460.0,0.2358944040374112
original_A,s2,A,480.0,0.3027621376954047
original_A,s2,A,500.0,0.24819095501186922
original_A,s2,A,520.0,0.07367015608479252
original_A,s2,A,540.0,0.3018439552817449
original_A,s2,A,560.0,0.2417114225558169
original_A,s2,A,580.0,0.06796078005261516
original_A,s2,A,600.0,0.16339316549057178
original_A,s2,A,620.0,0.4678289073543036
original_A,s2,A,640.0,0.31150762018454986
original_A,s2,A,660.0,0.10260712167288726
original_A,s2,A,680.0,0.13168377499845813
original_A,s2,A,700.0,0.09446715089538724
original_A,s2,A,720.0,0.0004329299466043837
original_A,s2,A,740.0,0.07387239142965749
original_A,s2,A,760.0,0.17873137232470918
original_A,s2,A,780.0,0.06425332413968339
original_A,s2,A,800.0,-0.02721557428081922
original_A,s2,A,820.0,0.030204626203323072
original_A,s2,A,840.0,0.20201803256808684
original_A,s2,A,860.0,0.42509340476905755
original_A,s2,A,880.0,0.3019456013913714
original_A,s2,A,900.0,0.31498184414678904
original_A,s2,A,920.0,0.3683482477282948
original_A,s2,A,940.0,0.4701638821351044
original_A,s2,A,960.0,0.2726446427407278
original_A,s2,A,980.0,0.36091490693996475
original_A,s2,I,0.0,-0.11957794304174177
original_A,s2,I,20.0,0.22987850647306954
original_A,s2,I,40.0,0.12133776868490555
original_A,s2,I,60.0,0.22639195295142203
original_A,s2,I,80.0,0.11733775207946665
original_A,s2,I,100.0,0.10034529281230181
original_A,s2,I,120.0,0.37957606972401187
original_A,s2,I,140.0,0.17051964697849678
original_A,s2,I,160.0,0.00314095266888198
original_A,s2,I,180.0,0.12261116823261234
original_A,s2,I,200.0,0.3010008910164207
original_A,s2,I,220.0,0.15811246583400682
original_A,s2,I,240.0,0.1936510878302162
original_A,s2,I,260.0,0.32940796418714713
original_A,s2,I,280.0,-0.229598551502544
original_A,s2,I,300.0,-0.21602739143547128
original_A,s2,I,320.0,0.07968960203792053
original_A,s2,I,340.0,-0.3835557186257733
original_A,s2,I,360.0,-0.35409422061246243
original_A,s2,I,380.0,-0.16745661115915023
original_A,s2,I,400.0,-0.22290513641127052
original_A,s2,I,420.0,-0.23574003041713532
original_A,s2,I,440.0,-0.22843551451550814
original_A,s2,I,460.0,-0.27782749809306845
original_A,s2,I,480.0,-0.48916475648211993
original_A,s2,I,500.0,-0.2782593494573875
original_A,s2,I,520.0,-0.07533168483027577
original_A,s2,I,540.0,-0.32725032021283507
original_A,s2,I,560.0,-0.18609027128351097
original_A,s2,I,580.0,-0.2492146565783664
original_A,s2,I,600.0,-0.3329019617669284
