identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,a_deltaE,a_luminance,a_contrast,a_texture,a_edge,a_one_minus_ssim,identity_cosine,identity_distance,G_raw,A_raw,I_raw,G,A,I
F_1,F_1_ (10).jpg,10,0,1,0,0,0.010576244911344027,0.007272727272727273,0.026967994498529685,0.0029216631018533514,0.06713900134952766,0.04482581967213095,0.002564102564102555,0.3213405099807832,0.3212183513110176,0.008011188428518778,0.0009547715695791126,0.00046469710197988984,0.0011737722506307557,0.8795256429397715,0.12047435706022847,0.7934251490402103,0.1074880503299369,0.12047435706022847,-0.318703660026538,-1.3165763309684246,0.539492453728172
F_1,F_1_ (11).jpg,11,0,1,0,1,0.011959877807931372,0.008907235428302466,0.02886274157525008,0.0037711676551952077,0.06713900134952766,0.09929435483870952,0.00512820512820511,15.347843603351107,14.760145050231415,1.8877429159009154,0.0024222174484066833,0.0017496331414380874,0.007520759449622716,0.8375006167754078,0.16249938322459223,1.0521235473981225,0.9435296624873802,0.16249938322459223,0.6971245888476627,0.3749842904072128,1.6003806040236062
F_1,F_1_ (12).jpg,12,1,1,0,0,0.018198533870197115,0.0051425947722658,0.04032922365967061,0.018415081620549577,0.03400546821599448,0.03204449152542388,0.011538461538461497,3.2196471430419185,3.218930967579496,1.8208425190717321,0.0017321011446798835,0.003332395325760157,0.025499823685982026,0.836150544711872,0.163849455288128,1.1250570717454116,0.8477363649617589,0.163849455288128,0.9835118830566861,0.1811659833639672,1.634462092721513
F_1,F_1_ (13).jpg,13,1,1,0,1,0.01938906069914217,0.0051425947722658,0.04287209499109671,0.018632462124115273,0.03400546821599448,0.08854166666666652,0.011142683174345414,12.474946925275699,11.752875104278388,3.806433494716977,0.003036083760881444,0.004871290668573475,0.02982774408450284,0.815950384762743,0.18404961523725705,1.2923990424244802,1.4989882927597218,0.18404961523725705,1.6406118191872998,1.4988421607676161,2.144398963201695
F_1,F_1_ (14).jpg,14,0,1,1,0,0.007451817740734108,0.006298366572977735,0.015427784316797399,0.002938525300895496,0.02101845522898138,0.09375,0.0,0.048047930491967206,0.042178248456480105,0.029896738383904164,0.0008872486618983126,0.001364218106127732,0.0008946643898416484,0.9277932579950987,0.07220674200490129,0.6316634726164291,0.15855742388071814,0.07220674200490129,-0.953891514066451,-1.2132478123867974,-0.6789848567901982
F_1,F_1_ (15).jpg,15,0,1,1,1,0.009118363861735243,0.006298366572977735,0.0205703790890632,0.002331982512172762,0.07995951417004044,0.125,0.00470194766869958,15.620436987054996,15.046329748799252,1.9588987119925676,0.0023138085284735628,0.0031028180388489833,0.007863725504001717,0.9035198555858311,0.09648014441416886,0.9930381740884199,1.0526930865212552,0.09648014441416886,0.46511468200535405,0.5958543364731246,-0.0662222404713259
F_1,F_1_ (16).jpg,16,1,1,1,0,0.011483161759257772,0.007272727272727273,0.01090909090909091,0.01812991499679621,0.09278002699055321,0.015625,0.013781205601786084,2.851818490017253,2.851503084016997,1.8325223647302522,0.0018392176382603506,0.004236780645547635,0.023792093034291084,0.8969591208846304,0.10304087911536963,1.0796276945816854,0.8891808118819652,0.10304087911536963,0.8051248310122947,0.2650204152073806,0.0993982560993116
F_1,F_1_ (17).jpg,17,1,1,1,1,0.010843788891119963,0.006298366572977735,0.01360602686099615,0.017172395557528235,0.07995951417004044,0.054315476190476275,0.008906882591093068,12.820988214903107,12.116035395055462,3.6822566293260337,0.0030513034080426544,0.00529132163462976,0.02759640367357641,0.8743985604744671,0.12560143952553293,1.0304905643892075,1.5070631471903537,0.12560143952553293,0.6121785845918951,1.51517999082245,0.6689215470440347
F_1,F_1_ (2).jpg,2,0,0,0,0,0.010262049612208333,0.0051425947722658,0.026967994498529685,0.0037950144057720416,0.03491228070175456,0.04482581967213095,0.002985960055368775,0.12267131899784739,0.12182349142165094,0.026728852325533126,0.00101803835270083,2.8079633841576745e-05,0.0011793473486312323,0.8740937286950461,0.1259062713049539,0.6784389309658619,0.07483248937108218,0.1259062713049539,-0.7702188193493628,-1.3826482347871638,0.6766167813398176
F_1,F_1_ (3).jpg,3,0,0,0,1,0.010168947136764622,0.0051425947722658,0.026967994498529685,0.004928835639899369,0.059979494190020244,0.04482581967213095,0.005556654142772399,15.527957251410829,14.93890103689074,1.8323521238600335,0.0021555317854334705,0.001453057769626863,0.007979631955320698,0.8731869772382422,0.12681302276175777,0.8025467461953829,0.9144480198439652,0.12681302276175777,-0.2828859815102015,0.3161434853741072,0.6995069961376386
