"picture_filename","stimtype_identity","cond_id","fslim_raw","eye_raw","mouth_raw","skin_raw","original_flag","attention_or_back_flag","n_trial_references","n_unique_mapping_tuples","mapping_consistent","physical_file_found","n_physical_matches","resolved_path","width_px","height_px","color_mode","file_sha256","duplicate_content_count","audit_status"
"F_2_ (3).jpg","F_2","3","0","1","1","1","0","0","180","1","True","True","1","F_2_ (3).jpg","768","1024","RGB","0bf8e73abb730b83b4b68bfcdd2171a852242a9af6e4efdbd26bcec8220cfbca","1","found"
"F_2_ (4).jpg","F_2","4","1","1","1","0","0","0","180","1","True","True","1","F_2_ (4).jpg","768","1024","RGB","839a75089c3f129fd55317bae433050e83f997896efb3bbb1b3d0e68454f9dda","1","found"
"F_2_ (5).jpg","F_2","5","1","1","1","1","0","0","180","1","True","True","1","F_2_ (5).jpg","768","1024","RGB","3bc2207ae53e73671308949b2e43c535587fa5c5413fa5f36b7ff1ed1d92f0ca","1","found"
"F_2_ (6).jpg","F_2","6","0","1","2","0","0","0","180","1","True","True","1","F_2_ (6).jpg","768","1024","RGB","02a5bef4041ffd3e211a29462e2636c1216a40ed2f519f788aa87e971999e346","1","found"
"F_2_ (7).jpg","F_2","7","0","1","2","1","0","0","180","1","True","True","1","F_2_ (7).jpg","768","1024","RGB","79b8653f232d6ec7e430f4d9c0fbcda46d804cf25c607d96313435b24f663762","1","found"
"F_2_ (8).jpg","F_2","8","1","1","2","0","0","0","180","1","True","True","1","F_2_ (8).jpg","768","1024","RGB","214cc5e99292da78607d10131a5126042f85f29db38d21ecd75935b416cf68a7","1","found"
"F_2_ (9).jpg","F_2","9","1","1","2","1","0","0","180","1","True","True","1","F_2_ (9).jpg","768","1024","RGB","0ddcb8801a801ebddc680b18ac5d360849013a26d18463031566f0e5fc3596c1","1","found"
"M_1_ (1).jpg","M_1","1","0","0","0","0","1","0","180","1","True","True","1","M_1_ (1).jpg","768","1024","RGB","dba1e4abe40ab33669ed0ac8520e5e3cb488e8dda1b84684e97b9f498f2c3e7e","1","found"
"M_1_ (10).jpg","M_1","10","0","2","1","0","0","0","180","1","True","True","1","M_1_ (10).jpg","768","1024","RGB","deaa83e868a51d394a0fa0db2da9b6a33a3044e872926e0f18d04f972072b7d0","1","found"
"M_1_ (11).jpg","M_1","11","0","2","1","1","0","0","180","1","True","True","1","M_1_ (11).jpg","768","1024","RGB","8457a614717b636811f925fb432a225008e96774eb4bf5f2796fe40bda9f090b","1","found"
