model,rmse,mae,r2
combined,1.2293570037299335,0.9515760293803688,0.16970821499275332
factor,1.2428361581136285,0.9657356262207045,0.15265741968586222
information,1.2890443008779064,1.0017817662624147,0.08999234959910932
