window,factor,n_participants,mean_beta,se,ci95_low,ci95_high,t,p_uncorrected,p_maxT_familywise,cohen_dz,n_permutations,seed,p_BH
MiddleLate_350_600,FSlim,28,0.0429251863012169,0.07362296888620201,-0.1081366679733708,0.19398704057580463,0.5830406862234228,0.5647044008686186,0.9969003099690031,0.11018433285568703,10000,20261828,0.6453764581355641
MiddleLate_350_600,Eye,28,0.027738523570302206,0.08194138161856773,-0.1403913037972316,0.19586835093783603,0.33851666914067197,0.7375922818650376,1.0,0.06397363722829645,10000,20261828,0.7375922818650376
MiddleLate_350_600,Mouth,28,-0.18662322063201112,0.073855299105776,-0.33816177714102125,-0.03508466412300096,-2.5268765124724255,0.01767468784139721,0.1100889911008899,-0.47753477469801714,10000,20261828,0.04713250091039256
MiddleLate_350_600,Skin,28,-0.278906581497578,0.08374509012195144,-0.4507373130151895,-0.10707584997996653,-3.330423086194404,0.00251893834085298,0.015398460153984602,-0.629390803335616,10000,20261828,0.01007575336341192
Late_600_1000,FSlim,28,0.07130199335248869,0.0759703060902291,-0.0845761990297913,0.22718018573476867,0.9385508236310657,0.3562821720479131,0.9428057194280572,0.17736943372304592,10000,20261828,0.47504289606388417
Late_600_1000,Eye,28,0.2884145026995332,0.07866428529920103,0.12700872156552123,0.4498202838335452,3.666397039044383,0.0010622217950272388,0.006299370062993701,0.6928839123525007,10000,20261828,0.00849777436021791
Late_600_1000,Mouth,28,-0.07721913433924799,0.07707363644715651,-0.2353611736176307,0.08092290493913473,-1.0018877776993336,0.3252928331417637,0.9229077092290771,-0.18933899295625717,10000,20261828,0.47504289606388417
Late_600_1000,Skin,28,-0.17020302491656616,0.08832483329460403,-0.35143061323346847,0.01102456340033614,-1.9270121274824323,0.06456238431277006,0.3584641535846415,-0.36417106162314383,10000,20261828,0.12912476862554012
