outcome,factor,n_participants,mean_beta,se,ci95_low,ci95_high,t,p_uncorrected,p_maxT_familywise,cohen_dz,n_permutations,seed,p_BH
Beauty,FSlim,28,-0.18353149690103548,0.04026285934342877,-0.26614406038263594,-0.10091893341943503,-4.558332415876703,9.978744685977227e-05,0.00029997000299970003,-0.8614438546838575,10000,20261928,0.00015965991497563563
Beauty,Eye,28,-0.44284865755525393,0.0866782474729586,-0.6206977308353003,-0.2649995842752075,-5.1091094993978885,2.271841530572078e-05,0.00019998000199980003,-0.9655309397431799,10000,20261928,4.543683061144156e-05
Beauty,Mouth,28,0.08077021674578969,0.03438149108619865,0.010225224133032451,0.15131520935854692,2.34923542272465,0.026380369802569897,0.14278572142785723,0.4439637642623658,10000,20261928,0.03014899406007988
Beauty,Skin,28,-0.16583478311124417,0.0384835089342389,-0.24479642112375716,-0.08687314509873116,-4.309242782268755,0.00019444418730697944,0.0006999300069993001,-0.8143703386345131,10000,20261928,0.0002592589164093059
Naturalness,FSlim,28,0.22828037485390143,0.04078066492020436,0.14460536208826916,0.3119553876195337,5.597759999759157,6.143941648742749e-06,0.00019998000199980003,1.0578772041705509,10000,20261928,1.638384439664733e-05
Naturalness,Eye,28,0.7156689418511464,0.12034354486634605,0.4687443840329634,0.9625934996693293,5.9468826736487665,2.4337883747950025e-06,9.999000099990002e-05,1.1238551878966803,10000,20261928,1.638384439664733e-05
Naturalness,Mouth,28,-0.04150136213256244,0.02464580019768145,-0.09207036708124103,0.009067642816116155,-1.6839121391752039,0.1037269366913141,0.46515348465153483,-0.31822948213859825,10000,20261928,0.1037269366913141
Naturalness,Skin,28,0.40930894351359465,0.0727620215804506,0.2600136071940292,0.5586042798331601,5.6253102184775745,5.709266875532566e-06,0.00019998000199980003,1.063083706120149,10000,20261928,1.638384439664733e-05
