subj,window,factor,beta_uV
s15,MiddleLate_350_600,FSlim,0.1328867944759143
s15,MiddleLate_350_600,Eye,0.2062523769919533
s15,MiddleLate_350_600,Mouth,-0.2596025685919576
s15,MiddleLate_350_600,Skin,-0.304794926538352
s15,Late_600_1000,FSlim,-0.032387899053346325
s15,Late_600_1000,Eye,0.37106126761919445
s15,Late_600_1000,Mouth,-0.4578356933731852
s15,Late_600_1000,Skin,-0.42822218486434765
s16,MiddleLate_350_600,FSlim,-0.4283596627615589
s16,MiddleLate_350_600,Eye,-0.01270572875299672
s16,MiddleLate_350_600,Mouth,-1.1442169290953101
s16,MiddleLate_350_600,Skin,-0.5267605086613252
s16,Late_600_1000,FSlim,-0.30237010756805
s16,Late_600_1000,Eye,0.17511857084186488
s16,Late_600_1000,Mouth,-0.8438503720007996
s16,Late_600_1000,Skin,0.011318882491930388
s17,MiddleLate_350_600,FSlim,0.3000478721034948
s17,MiddleLate_350_600,Eye,0.7002517395401893
s17,MiddleLate_350_600,Mouth,-0.6684184169099852
s17,MiddleLate_350_600,Skin,-0.12202719906003201
s17,Late_600_1000,FSlim,0.6318472327943211
s17,Late_600_1000,Eye,0.8835624482753457
s17,Late_600_1000,Mouth,-0.2504611603458389
s17,Late_600_1000,Skin,-0.17673722349505128
s19,MiddleLate_350_600,FSlim,-0.07825886033735224
s19,MiddleLate_350_600,Eye,0.2389974563877845
s19,MiddleLate_350_600,Mouth,0.2305985429521028
s19,MiddleLate_350_600,Skin,0.5928592948670593
s19,Late_600_1000,FSlim,0.3475333893397412
s19,Late_600_1000,Eye,0.6328107180648193
s19,Late_600_1000,Mouth,0.32317100853647107
s19,Late_600_1000,Skin,0.3129085941634872
s20,MiddleLate_350_600,FSlim,0.08678580043391779
s20,MiddleLate_350_600,Eye,0.21524296819292071
s20,MiddleLate_350_600,Mouth,-0.1918108304974389
s20,MiddleLate_350_600,Skin,-0.9865523953351492
s20,Late_600_1000,FSlim,0.14442655005709393
s20,Late_600_1000,Eye,0.6728718987146476
s20,Late_600_1000,Mouth,0.09649793103512591
s20,Late_600_1000,Skin,-0.4789663396054836
s21,MiddleLate_350_600,FSlim,-0.025309689988595396
s21,MiddleLate_350_600,Eye,0.7690252768762837
s21,MiddleLate_350_600,Mouth,-0.7885884646812376
s21,MiddleLate_350_600,Skin,-0.833641586529801
s21,Late_600_1000,FSlim,0.07935348676143172
s21,Late_600_1000,Eye,0.9325205422831695
s21,Late_600_1000,Mouth,-0.9098321109184196
s21,Late_600_1000,Skin,-0.7018124189640185
s22,MiddleLate_350_600,FSlim,0.15839458943040674
s22,MiddleLate_350_600,Eye,-0.18406574834762401
s22,MiddleLate_350_600,Mouth,-0.08849096808083462
s22,MiddleLate_350_600,Skin,0.08588081559554082
s22,Late_600_1000,FSlim,-0.33090036765345276
s22,Late_600_1000,Eye,-0.10241341142685977
s22,Late_600_1000,Mouth,0.04302581204232485
s22,Late_600_1000,Skin,0.3061856523245087
s23,MiddleLate_350_600,FSlim,0.2745908649176857
s23,MiddleLate_350_600,Eye,-0.09142350196101506
s23,MiddleLate_350_600,Mouth,-0.007462165479911298
s23,MiddleLate_350_600,Skin,-0.1664833901582513
s23,Late_600_1000,FSlim,0.32297119793612417
s23,Late_600_1000,Eye,0.5035058396172475
s23,Late_600_1000,Mouth,0.16246729785997083
s23,Late_600_1000,Skin,0.255525222123224
s24,MiddleLate_350_600,FSlim,0.03996571598800077
s24,MiddleLate_350_600,Eye,0.07460123676306327
s24,MiddleLate_350_600,Mouth,-0.2569622570359623
s24,MiddleLate_350_600,Skin,-1.3005630832402708
s24,Late_600_1000,FSlim,0.29884356565469694
s24,Late_600_1000,Eye,-0.4195673604791644
s24,Late_600_1000,Mouth,-0.2738545852762382
s24,Late_600_1000,Skin,-1.2298698875474725
s25,MiddleLate_350_600,FSlim,-0.3040720367849761
s25,MiddleLate_350_600,Eye,-0.02201610749526517
s25,MiddleLate_350_600,Mouth,0.06443852634653104
s25,MiddleLate_350_600,Skin,0.008231142597774884
s25,Late_600_1000,FSlim,-0.49270366226119056
s25,Late_600_1000,Eye,0.2865051257127099
s25,Late_600_1000,Mouth,0.1952043425459059
s25,Late_600_1000,Skin,0.026913288142678404
s26,MiddleLate_350_600,FSlim,1.0399254804321547
s26,MiddleLate_350_600,Eye,0.3235414186735172
s26,MiddleLate_350_600,Mouth,0.16036121604723302
s26,MiddleLate_350_600,Skin,-0.23257435296082463
s26,Late_600_1000,FSlim,0.8583443094752821
s26,Late_600_1000,Eye,0.4450346358612771
s26,Late_600_1000,Mouth,0.6609704526395817
s26,Late_600_1000,Skin,-0.27912699026246157
s27,MiddleLate_350_600,FSlim,-0.1559860091446377
s27,MiddleLate_350_600,Eye,0.49929087665922267
s27,MiddleLate_350_600,Mouth,0.021692039135180755
s27,MiddleLate_350_600,Skin,0.033544980950956926
s27,Late_600_1000,FSlim,-0.3593578108964573
s27,Late_600_1000,Eye,0.3771811856704524
s27,Late_600_1000,Mouth,-0.5133955364546455
s27,Late_600_1000,Skin,0.5200156390739725
s28,MiddleLate_350_600,FSlim,-0.10165783502112437
s28,MiddleLate_350_600,Eye,0.15085214420338058
s28,MiddleLate_350_600,Mouth,-0.03115531903682059
s28,MiddleLate_350_600,Skin,-0.7879919755549232
s28,Late_600_1000,FSlim,-0.024306314506359755
s28,Late_600_1000,Eye,0.5273614380461598
s28,Late_600_1000,Mouth,-0.47555638221560154
s28,Late_600_1000,Skin,-0.49231560099107285
s29,MiddleLate_350_600,FSlim,0.4372213709388696
s29,MiddleLate_350_600,Eye,0.28511149452898266
s29,MiddleLate_350_600,Mouth,-1.1477204466664024
s29,MiddleLate_350_600,Skin,-0.009601488222205162
s29,Late_600_1000,FSlim,-0.036500626692702154
s29,Late_600_1000,Eye,0.8342444085008902
s29,Late_600_1000,Mouth,-0.19444225166080276
s29,Late_600_1000,Skin,0.031662445054152194
s30,MiddleLate_350_600,FSlim,0.13240993368282888
s30,MiddleLate_350_600,Eye,-0.10604401150134024
s30,MiddleLate_350_600,Mouth,-0.4333782419686306
s30,MiddleLate_350_600,Skin,-1.329058382001911
s30,Late_600_1000,FSlim,0.11729923530249026
s30,Late_600_1000,Eye,0.7769763471948619
s30,Late_600_1000,Mouth,-0.12753577481561784
s30,Late_600_1000,Skin,-1.4486223778135174
